Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,7,7,3,385,77,96.25,288,133.68,0,5,0,33,11,2014
RG Sharma,6,6,1,200,62*,40,162,123.45,0,2,0,19,6,2014
Yuvraj Singh,6,5,0,100,60,20,102,98.03,0,1,0,8,4,2014
SK Raina,7,5,2,88,35*,29.33,69,127.53,0,0,0,8,3,2014
MS Dhoni,7,5,4,77,27*,77,58,132.75,0,0,0,4,4,2014
S Dhawan,4,4,0,64,33,16,65,98.46,0,0,1,7,2,2014
AM Rahane,4,4,0,62,32,15.5,58,106.89,0,0,0,4,2,2014
RA Jadeja,7,2,0,10,7,5,7,142.85,0,0,0,1,0,2014
AT Rayudu,1,1,1,3,3*,-,5,60,0,0,0,0,0,2014
R Ashwin,7,1,1,2,2*,-,3,66.66,0,0,0,0,0,2014
B Kumar,6,1,1,0,0*,-,1,0,0,0,0,0,0,2014
A Mishra,6,-,-,-,-,-,-,-,-,-,-,-,-,2014
Mohammed Shami,4,-,-,-,-,-,-,-,-,-,-,-,-,2014
KV Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,2014
MM Sharma,4,-,-,-,-,-,-,-,-,-,-,-,-,2014
