Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Washington Sundar,3,3,27.0,3,105,5,3/30,21,3.88,32.4,0,0,2024
Kuldeep Yadav,3,3,30.0,1,102,4,2/33,25.5,3.4,45,0,0,2024
AR Patel,3,3,29.0,1,112,4,2/33,28,3.86,43.5,0,0,2024
Mohammed Siraj,3,3,25.0,3,157,3,1/36,52.33,6.28,50,0,0,2024
R Parag,1,1,9.0,0,54,3,3/54,18,6,18,0,0,2024
Arshdeep Singh,2,2,17.0,0,105,2,2/47,52.5,6.17,51,0,0,2024
S Dube,3,3,10.0,0,38,1,1/19,38,3.8,60,0,0,2024
RG Sharma,3,1,2.0,0,11,0,-,-,5.5,-,0,0,2024
Shubman Gill,3,1,1.0,0,14,0,-,-,14,-,0,0,2024
SS Iyer,3,-,-,-,-,-,-,-,-,-,-,-,2024
V Kohli,3,-,-,-,-,-,-,-,-,-,-,-,2024
RR Pant,1,-,-,-,-,-,-,-,-,-,-,-,2024
KL Rahul,2,-,-,-,-,-,-,-,-,-,-,-,2024
