Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
CV Varun,20,18,67.0,1,475,36,5/24,13.19,7.08,11.1,1,1,2025
Kuldeep Yadav,10,9,30.3,0,215,21,4/7,10.23,7.04,8.7,2,0,2025
AR Patel,19,15,47.0,1,326,17,2/7,19.17,6.93,16.5,0,0,2025
Arshdeep Singh,12,11,40.4,0,360,15,3/35,24,8.85,16.2,0,0,2025
JJ Bumrah,13,11,41.1,0,293,14,2/17,20.92,7.11,17.6,0,0,2025
S Dube,17,11,25.3,0,215,12,3/4,17.91,8.43,12.7,0,0,2025
HH Pandya,15,15,38.0,0,349,12,2/33,29.08,9.18,19,0,0,2025
Harshit Rana,6,5,17.0,0,173,7,3/33,24.71,10.17,14.5,0,0,2025
Ravi Bishnoi,5,5,17.0,0,132,5,3/28,26.4,7.76,20.4,0,0,2025
Washington Sundar,6,4,7.2,0,57,4,3/3,14.25,7.77,11,0,0,2025
Abhishek Sharma,21,7,7.0,0,62,3,2/3,20.66,8.85,14,0,0,2025
Mohammed Shami,2,2,5.3,0,50,3,3/25,16.66,9.09,11,0,0,2025
NT Tilak Varma,20,3,2.3,0,18,1,1/1,18,7.2,15,0,0,2025
DC Jurel,2,-,-,-,-,-,-,-,-,-,-,-,2025
K Nitish Kumar Reddy,1,-,-,-,-,-,-,-,-,-,-,-,2025
SV Samson,15,-,-,-,-,-,-,-,-,-,-,-,2025
JM Sharma,7,-,-,-,-,-,-,-,-,-,-,-,2025
Shubman Gill,15,-,-,-,-,-,-,-,-,-,-,-,2025
RK Singh,5,-,-,-,-,-,-,-,-,-,-,-,2025
SA Yadav,21,-,-,-,-,-,-,-,-,-,-,-,2025
