Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Kuldeep Yadav,19,19,172.2,4,800,45,6/25,17.77,4.64,22.9,2,1,2018
YS Chahal,17,17,156.1,3,754,29,5/22,26,4.82,32.3,1,1,2018
JJ Bumrah,13,13,100.5,9,366,22,4/35,16.63,3.62,27.5,1,0,2018
RA Jadeja,8,8,74.5,3,344,14,4/29,24.57,4.59,32,2,0,2018
KK Ahmed,6,6,52.0,2,264,11,3/13,24,5.07,28.3,0,0,2018
B Kumar,14,14,101.0,6,537,11,3/15,48.81,5.31,55,0,0,2018
KM Jadhav,11,7,41.0,1,169,6,3/23,28.16,4.12,41,0,0,2018
HH Pandya,10,10,71.2,0,396,5,2/30,79.2,5.55,85.6,0,0,2018
SN Thakur,3,3,22.5,0,144,5,4/52,28.8,6.3,27.4,1,0,2018
UT Yadav,4,4,39.5,0,275,4,2/70,68.75,6.9,59.7,0,0,2018
Mohammed Shami,2,2,20.0,0,140,3,2/81,46.66,7,40,0,0,2018
DL Chahar,1,1,4.0,0,37,1,1/37,37,9.25,24,0,0,2018
S Kaul,3,3,27.0,0,179,0,-,-,6.62,-,0,0,2018
SK Raina,3,3,7.0,1,42,0,-,-,6,-,0,0,2018
AT Rayudu,11,1,0.1,0,0,0,-,-,0,-,0,0,2018
S Dhawan,19,-,-,-,-,-,-,-,-,-,-,-,2018
MS Dhoni,20,-,-,-,-,-,-,-,-,-,-,-,2018
SS Iyer,3,-,-,-,-,-,-,-,-,-,-,-,2018
KD Karthik,7,-,-,-,-,-,-,-,-,-,-,-,2018
V Kohli,14,-,-,-,-,-,-,-,-,-,-,-,2018
MK Pandey,1,-,-,-,-,-,-,-,-,-,-,-,2018
RR Pant,3,-,-,-,-,-,-,-,-,-,-,-,2018
AM Rahane,6,-,-,-,-,-,-,-,-,-,-,-,2018
KL Rahul,3,-,-,-,-,-,-,-,-,-,-,-,2018
RG Sharma,19,-,-,-,-,-,-,-,-,-,-,-,2018
