Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
AR Patel,4,4,15.0,0,102,5,3/17,20.4,6.8,18,0,0,2015
R Ashwin,2,2,8.0,0,50,4,3/24,12.5,6.25,12,0,0,2015
MM Sharma,4,4,12.0,0,83,3,2/28,27.66,6.91,24,0,0,2015
Harbhajan Singh,2,2,8.0,0,49,2,2/29,24.5,6.12,24,0,0,2015
B Kumar,4,4,14.0,0,101,2,2/26,50.5,7.21,42,0,0,2015
S Aravind,1,1,3.4,0,44,1,1/44,44,12,22,0,0,2015
STR Binny,2,2,4.0,0,22,1,1/14,22,5.5,24,0,0,2015
Sandeep Sharma,2,2,7.0,0,73,1,1/39,73,10.42,42,0,0,2015
SK Raina,2,1,3.1,0,12,0,-,-,3.78,-,0,0,2015
M Vijay,2,1,2.0,0,9,0,-,-,4.5,-,0,0,2015
S Dhawan,2,-,-,-,-,-,-,-,-,-,-,-,2015
MS Dhoni,2,-,-,-,-,-,-,-,-,-,-,-,2015
KM Jadhav,2,-,-,-,-,-,-,-,-,-,-,-,2015
V Kohli,2,-,-,-,-,-,-,-,-,-,-,-,2015
MK Pandey,2,-,-,-,-,-,-,-,-,-,-,-,2015
AM Rahane,2,-,-,-,-,-,-,-,-,-,-,-,2015
AT Rayudu,2,-,-,-,-,-,-,-,-,-,-,-,2015
SV Samson,1,-,-,-,-,-,-,-,-,-,-,-,2015
RG Sharma,2,-,-,-,-,-,-,-,-,-,-,-,2015
RV Uthappa,2,-,-,-,-,-,-,-,-,-,-,-,2015
