Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
RG Sharma,2,2,0,128,106,64,90,142.22,1,0,0,14,5,2015
RV Uthappa,2,2,1,81,42,81,60,135,0,0,0,11,0,2015
M Vijay,2,2,0,47,34,23.5,30,156.66,0,0,0,5,2,2015
V Kohli,2,2,0,44,43,22,28,157.14,0,0,0,1,3,2015
AM Rahane,2,2,0,37,33,18.5,35,105.71,0,0,0,3,0,2015
SK Raina,2,2,0,36,22,18,32,112.5,0,0,0,3,2,2015
STR Binny,2,2,0,35,24,17.5,29,120.68,0,0,0,2,1,2015
MS Dhoni,2,2,1,25,20*,25,20,125,0,0,0,2,1,2015
AR Patel,4,3,1,24,13,12,30,80,0,0,0,1,0,2015
MK Pandey,2,2,0,19,19,9.5,22,86.36,0,0,1,1,1,2015
SV Samson,1,1,0,19,19,19,24,79.16,0,0,0,1,0,2015
S Dhawan,2,2,0,14,11,7,16,87.5,0,0,0,2,0,2015
KM Jadhav,2,2,0,14,9,7,13,107.69,0,0,0,1,0,2015
R Ashwin,2,1,0,11,11,11,15,73.33,0,0,0,1,0,2015
B Kumar,4,2,0,9,9,4.5,8,112.5,0,0,1,0,0,2015
Harbhajan Singh,2,2,1,8,8*,8,4,200,0,0,1,1,0,2015
MM Sharma,4,2,2,3,3*,-,7,42.85,0,0,0,0,0,2015
Sandeep Sharma,2,1,1,1,1*,-,1,100,0,0,0,0,0,2015
AT Rayudu,2,2,0,0,0,0,3,0,0,0,2,0,0,2015
S Aravind,1,-,-,-,-,-,-,-,-,-,-,-,-,2015
