Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
SA Yadav,18,17,2,733,112*,48.86,470,155.95,2,5,0,61,43,2023
YBK Jaiswal,15,14,1,430,100,33.07,270,159.25,1,3,2,50,22,2023
RD Gaikwad,10,9,3,365,123*,60.83,248,147.17,1,2,1,36,15,2023
Shubman Gill,13,13,1,312,126*,26,215,145.11,1,1,1,26,16,2023
NT Tilak Varma,15,14,5,310,55*,34.44,219,141.55,0,2,2,27,15,2023
RK Singh,12,8,4,262,68*,65.5,145,180.68,0,1,0,26,14,2023
Ishan Kishan,11,11,0,207,58,18.81,184,112.5,0,2,1,14,13,2023
AR Patel,13,9,2,190,65,27.14,121,157.02,0,1,1,13,10,2023
HH Pandya,11,10,2,188,30,23.5,170,110.58,0,0,0,15,7,2023
RA Tripathi,5,5,0,97,44,19.4,67,144.77,0,0,1,11,5,2023
SV Samson,8,6,1,78,40,15.6,61,127.86,0,0,0,8,2,2023
JM Sharma,7,5,0,69,35,13.8,46,150,0,0,0,6,4,2023
DJ Hooda,6,5,2,66,41*,22,49,134.69,0,0,0,2,5,2023
SS Iyer,2,2,0,61,53,30.5,44,138.63,0,1,0,5,2,2023
Washington Sundar,8,3,1,60,50,30,38,157.89,0,1,0,6,3,2023
S Dube,5,2,2,47,25*,-,35,134.28,0,0,0,2,3,2023
Arshdeep Singh,21,8,4,28,12,7,23,121.73,0,0,2,3,1,2023
Shivam Mavi,6,2,0,28,26,14,18,155.55,0,0,0,2,2,2023
RA Jadeja,2,2,0,23,19,11.5,16,143.75,0,0,0,2,1,2023
Ravi Bishnoi,11,4,1,14,8*,4.66,10,140,0,0,1,0,1,2023
Mukesh Kumar,11,3,3,5,4*,-,2,250,0,0,0,1,0,2023
Umran Malik,5,2,2,5,4*,-,2,250,0,0,0,1,0,2023
Kuldeep Yadav,9,3,0,3,3,1,11,27.27,0,0,2,0,0,2023
Mohammed Siraj,2,1,1,2,2*,-,1,200,0,0,0,0,0,2023
Avesh Khan,4,1,1,1,1*,-,1,100,0,0,0,0,0,2023
YS Chahal,9,2,2,1,1*,-,2,50,0,0,0,0,0,2023
DL Chahar,1,1,0,0,0,0,2,0,0,0,1,0,0,2023
JJ Bumrah,2,-,-,-,-,-,-,-,-,-,-,-,-,2023
HV Patel,1,-,-,-,-,-,-,-,-,-,-,-,-,2023
M Prasidh Krishna,5,-,-,-,-,-,-,-,-,-,-,-,-,2023
Shahbaz Ahmed,2,-,-,-,-,-,-,-,-,-,-,-,-,2023
R Sai Kishore,3,-,-,-,-,-,-,-,-,-,-,-,-,2023
