Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Harshit Rana,11,11,85.0,4,511,20,4/39,25.55,6.01,25.5,1,0,2025
Kuldeep Yadav,11,11,104.1,1,551,19,4/41,29,5.28,32.8,2,0,2025
RA Jadeja,10,10,86.0,3,401,12,3/26,33.41,4.66,43,0,0,2025
Mohammed Shami,7,7,56.5,1,337,11,5/53,30.63,5.92,31,0,1,2025
AR Patel,11,11,84.2,3,377,11,2/22,34.27,4.47,46,0,0,2025
Arshdeep Singh,6,6,46.2,2,259,10,2/33,25.9,5.58,27.8,0,0,2025
CV Varun,4,4,40.0,0,190,10,5/42,19,4.75,24,0,1,2025
M Prasidh Krishna,4,4,32.3,1,251,8,4/66,31.37,7.72,24.3,1,0,2025
HH Pandya,8,8,43.3,1,271,7,2/31,38.71,6.22,37.2,0,0,2025
Washington Sundar,6,6,31.0,0,184,6,2/37,30.66,5.93,31,0,0,2025
Mohammed Siraj,3,3,19.0,2,94,2,1/24,47,4.94,57,0,0,2025
K Nitish Kumar Reddy,2,2,5.1,0,40,0,-,-,7.74,-,0,0,2025
NT Tilak Varma,1,1,3.0,0,29,0,-,-,9.66,-,0,0,2025
RD Gaikwad,3,-,-,-,-,-,-,-,-,-,-,-,2025
SS Iyer,11,-,-,-,-,-,-,-,-,-,-,-,2025
YBK Jaiswal,4,-,-,-,-,-,-,-,-,-,-,-,2025
V Kohli,13,-,-,-,-,-,-,-,-,-,-,-,2025
KL Rahul,14,-,-,-,-,-,-,-,-,-,-,-,2025
RG Sharma,14,-,-,-,-,-,-,-,-,-,-,-,2025
Shubman Gill,11,-,-,-,-,-,-,-,-,-,-,-,2025
