Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
KL Rahul,11,10,1,404,57*,44.88,287,140.76,0,4,1,34,13,2020
V Kohli,10,9,1,295,85,36.87,208,141.82,0,1,0,18,10,2020
SS Iyer,10,9,3,203,58*,33.83,150,135.33,0,1,1,12,11,2020
S Dhawan,6,5,0,165,52,33,128,128.9,0,2,0,16,3,2020
RG Sharma,4,4,1,140,65,46.66,93,150.53,0,2,0,11,7,2020
MK Pandey,7,6,5,122,50*,122,84,145.23,0,1,0,9,3,2020
HH Pandya,3,3,1,78,42*,39,50,156,0,0,0,4,5,2020
SV Samson,6,6,0,64,23,10.66,46,139.13,0,0,0,2,4,2020
SN Thakur,10,3,2,59,22*,59,30,196.66,0,0,0,3,4,2020
RA Jadeja,4,2,2,54,44*,-,28,192.85,0,0,0,5,2,2020
S Dube,7,5,1,41,13,10.25,35,117.14,0,0,0,4,2,2020
Washington Sundar,8,4,0,14,7,3.5,15,93.33,0,0,2,2,0,2020
NA Saini,5,1,1,11,11*,-,9,122.22,0,0,0,2,0,2020
YS Chahal,9,1,0,1,1,1,2,50,0,0,0,0,0,2020
RR Pant,2,1,1,1,1*,-,1,100,0,0,0,0,0,2020
DL Chahar,3,2,2,0,0*,-,0,-,0,0,0,0,0,2020
JJ Bumrah,8,-,-,-,-,-,-,-,-,-,-,-,-,2020
Kuldeep Yadav,2,-,-,-,-,-,-,-,-,-,-,-,-,2020
Mohammed Shami,4,-,-,-,-,-,-,-,-,-,-,-,-,2020
T Natarajan,3,-,-,-,-,-,-,-,-,-,-,-,-,2020
