Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
JJ Bumrah,23,23,199.2,13,1024,39,5/27,26.25,5.13,30.6,1,1,2017
HH Pandya,28,27,197.2,3,1101,31,3/40,35.51,5.57,38.1,0,0,2017
B Kumar,24,23,187.5,11,949,28,5/42,33.89,5.05,40.2,0,1,2017
Kuldeep Yadav,14,12,111.4,5,545,22,3/41,24.77,4.88,30.4,0,0,2017
YS Chahal,14,13,121.0,6,600,21,3/30,28.57,4.95,34.5,0,0,2017
UT Yadav,9,8,67.2,3,388,15,4/71,25.86,5.76,26.9,1,0,2017
KM Jadhav,25,15,74.5,0,409,10,2/22,40.9,5.46,44.9,0,0,2017
AR Patel,8,8,77.0,2,352,10,3/34,35.2,4.57,46.2,0,0,2017
R Ashwin,9,8,75.0,1,430,8,3/28,53.75,5.73,56.2,0,0,2017
RA Jadeja,10,10,92.0,1,481,8,2/43,60.12,5.22,69,0,0,2017
Mohammed Shami,3,3,30.0,3,143,4,4/48,35.75,4.76,45,1,0,2017
SN Thakur,2,2,13.0,0,74,1,1/26,74,5.69,78,0,0,2017
Washington Sundar,1,1,10.0,0,65,1,1/65,65,6.5,60,0,0,2017
SS Iyer,3,1,1.0,0,2,0,-,-,2,-,0,0,2017
V Kohli,26,2,5.0,0,29,0,-,-,5.8,-,0,0,2017
Yuvraj Singh,11,3,10.0,0,56,0,-,-,5.6,-,0,0,2017
S Dhawan,22,-,-,-,-,-,-,-,-,-,-,-,2017
MS Dhoni,29,-,-,-,-,-,-,-,-,-,-,-,2017
KD Karthik,8,-,-,-,-,-,-,-,-,-,-,-,2017
MK Pandey,10,-,-,-,-,-,-,-,-,-,-,-,2017
AM Rahane,12,-,-,-,-,-,-,-,-,-,-,-,2017
KL Rahul,7,-,-,-,-,-,-,-,-,-,-,-,2017
RG Sharma,21,-,-,-,-,-,-,-,-,-,-,-,2017
