Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,34,34,5,1381,117,47.62,1614,85.56,4,8,2,127,7,2011
MS Dhoni,24,22,9,764,91*,58.76,850,89.88,0,6,0,59,14,2011
SK Raina,29,27,4,722,84,31.39,725,99.58,0,4,3,62,14,2011
G Gambhir,19,19,1,720,97,40,827,87.06,0,7,1,74,1,2011
V Sehwag,12,12,0,645,219,53.75,524,123.09,2,1,2,80,14,2011
RG Sharma,16,16,5,611,95,55.54,739,82.67,0,6,0,40,9,2011
SR Tendulkar,11,11,0,513,120,46.63,579,88.6,2,2,0,54,8,2011
PA Patel,21,21,1,491,95,24.55,602,81.56,0,2,1,52,6,2011
Yuvraj Singh,14,13,4,453,113,50.33,553,81.91,1,5,1,48,4,2011
AM Rahane,11,11,0,340,91,30.9,453,75.05,0,2,2,33,3,2011
YK Pathan,14,13,1,282,105,23.5,233,121.03,1,1,1,21,18,2011
RA Jadeja,13,10,3,220,78,31.42,253,86.95,0,1,1,21,2,2011
MK Tiwary,5,5,1,163,104*,40.75,202,80.69,1,0,0,16,2,2011
R Dravid,5,5,0,124,69,24.8,160,77.5,0,1,0,9,0,2011
R Ashwin,18,11,4,122,36*,17.42,152,80.26,0,0,1,9,0,2011
Harbhajan Singh,17,11,3,107,41,13.37,159,67.29,0,0,2,3,5,2011
S Dhawan,4,4,0,69,51,17.25,121,57.02,0,1,0,4,1,2011
Z Khan,14,8,0,62,24,7.75,123,50.4,0,0,2,7,0,2011
P Kumar,13,7,5,51,25*,25.5,46,110.86,0,0,0,2,3,2011
S Badrinath,4,3,0,40,17,13.33,85,47.05,0,0,0,3,0,2011
R Vinay Kumar,13,5,2,24,18,8,65,36.92,0,0,0,1,0,2011
A Mithun,3,1,0,23,23,23,16,143.75,0,0,0,2,2,2011
M Vijay,3,3,0,18,16,6,43,41.86,0,0,0,3,0,2011
UT Yadav,6,2,2,17,11*,-,19,89.47,0,0,0,3,0,2011
MM Patel,21,7,5,12,6*,6,17,70.58,0,0,1,1,0,2011
PP Chawla,4,2,0,10,8,5,15,66.66,0,0,0,1,0,2011
A Nehra,7,5,1,9,6*,2.25,25,36,0,0,1,1,0,2011
VR Aaron,4,1,1,6,6*,-,11,54.54,0,0,0,1,0,2011
A Mishra,5,2,1,5,5*,5,15,33.33,0,0,1,0,0,2011
IK Pathan,1,1,0,4,4,4,10,40,0,0,0,0,0,2011
I Sharma,2,2,0,0,0,0,5,0,0,0,2,0,0,2011
R Sharma,2,-,-,-,-,-,-,-,-,-,-,-,-,2011
RP Singh,3,-,-,-,-,-,-,-,-,-,-,-,-,2011
S Sreesanth,2,-,-,-,-,-,-,-,-,-,-,-,-,2011
