Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Mohammed Shami,6,6,55.5,0,393,12,4/63,32.75,7.03,27.9,1,0,2020
YS Chahal,4,4,39.0,1,265,7,3/47,37.85,6.79,33.4,0,0,2020
RA Jadeja,9,9,88.0,1,472,7,2/44,67.42,5.36,75.4,0,0,2020
SN Thakur,5,5,43.1,2,321,7,3/51,45.85,7.43,37,0,0,2020
Kuldeep Yadav,5,5,50.0,0,323,6,2/65,53.83,6.46,50,0,0,2020
JJ Bumrah,9,9,85.4,4,482,5,2/43,96.4,5.62,102.8,0,0,2020
NA Saini,6,6,55.0,0,396,4,2/62,99,7.2,82.5,0,0,2020
T Natarajan,1,1,10.0,1,70,2,2/70,35,7,30,0,0,2020
HH Pandya,3,1,4.0,0,24,1,1/24,24,6,24,0,0,2020
MA Agarwal,5,1,1.0,0,10,0,-,-,10,-,0,0,2020
S Dhawan,6,-,-,-,-,-,-,-,-,-,-,-,2020
SS Iyer,9,-,-,-,-,-,-,-,-,-,-,-,2020
KM Jadhav,2,-,-,-,-,-,-,-,-,-,-,-,2020
V Kohli,9,-,-,-,-,-,-,-,-,-,-,-,2020
MK Pandey,3,-,-,-,-,-,-,-,-,-,-,-,2020
RR Pant,1,-,-,-,-,-,-,-,-,-,-,-,2020
KL Rahul,9,-,-,-,-,-,-,-,-,-,-,-,2020
RG Sharma,3,-,-,-,-,-,-,-,-,-,-,-,2020
PP Shaw,3,-,-,-,-,-,-,-,-,-,-,-,2020
Shubman Gill,1,-,-,-,-,-,-,-,-,-,-,-,2020
