Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Mohammed Shami,21,21,177.2,10,951,42,5/69,22.64,5.36,25.3,2,1,2019
B Kumar,19,19,149.5,7,784,33,4/31,23.75,5.23,27.2,2,0,2019
Kuldeep Yadav,23,23,208.0,3,1110,32,4/39,34.68,5.33,39,2,0,2019
YS Chahal,16,16,142.0,0,815,29,6/42,28.1,5.73,29.3,1,1,2019
JJ Bumrah,14,14,132.5,9,615,25,4/55,24.6,4.62,31.8,1,0,2019
HH Pandya,12,12,100.0,2,557,14,3/60,39.78,5.57,42.8,0,0,2019
RA Jadeja,15,15,129.0,1,647,12,2/45,53.91,5.01,64.5,0,0,2019
KM Jadhav,23,16,64.0,0,369,5,1/17,73.8,5.76,76.8,0,0,2019
KK Ahmed,5,5,28.0,0,201,4,3/68,50.25,7.17,42,0,0,2019
V Shankar,12,9,38.5,0,210,4,2/15,52.5,5.4,58.2,0,0,2019
NA Saini,1,1,10.0,0,58,2,2/58,29,5.8,30,0,0,2019
SN Thakur,2,2,18.0,0,121,2,1/55,60.5,6.72,54,0,0,2019
DL Chahar,2,2,17.0,2,92,1,1/48,92,5.41,102,0,0,2019
S Dube,1,1,7.5,0,68,0,-,-,8.68,-,0,0,2019
SS Iyer,6,1,1.0,0,13,0,-,-,13,-,0,0,2019
Mohammed Siraj,1,1,10.0,0,76,0,-,-,7.6,-,0,0,2019
AT Rayudu,10,1,2.0,0,13,0,-,-,6.5,-,0,0,2019
S Dhawan,18,-,-,-,-,-,-,-,-,-,-,-,2019
MS Dhoni,18,-,-,-,-,-,-,-,-,-,-,-,2019
KD Karthik,8,-,-,-,-,-,-,-,-,-,-,-,2019
V Kohli,26,-,-,-,-,-,-,-,-,-,-,-,2019
RR Pant,12,-,-,-,-,-,-,-,-,-,-,-,2019
KL Rahul,13,-,-,-,-,-,-,-,-,-,-,-,2019
RG Sharma,28,-,-,-,-,-,-,-,-,-,-,-,2019
Shubman Gill,2,-,-,-,-,-,-,-,-,-,-,-,2019
