Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
KL Rahul,9,9,1,443,112,55.37,417,106.23,1,3,0,29,16,2020
V Kohli,9,9,0,431,89,47.88,467,92.29,0,5,0,35,5,2020
SS Iyer,9,9,1,331,103,41.37,347,95.38,1,2,0,41,3,2020
S Dhawan,6,5,0,290,96,58,317,91.48,0,3,0,39,2,2020
RA Jadeja,9,7,3,223,66*,55.75,226,98.67,0,2,0,12,8,2020
HH Pandya,3,3,1,210,92*,105,183,114.75,0,2,0,15,6,2020
RG Sharma,3,3,0,171,119,57,187,91.44,1,0,0,16,6,2020
NA Saini,6,4,3,92,45,92,100,92,0,0,0,9,3,2020
MA Agarwal,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1,2020
PP Shaw,3,3,0,84,40,28,82,102.43,0,0,0,12,2,2020
MK Pandey,3,3,1,52,42,26,56,92.85,0,0,0,4,0,2020
SN Thakur,5,3,0,38,18,12.66,31,122.58,0,0,0,6,0,2020
KM Jadhav,2,2,1,35,26*,35,42,83.33,0,0,0,4,1,2020
Shubman Gill,1,1,0,33,33,33,39,84.61,0,0,0,3,1,2020
RR Pant,1,1,0,28,28,28,33,84.84,0,0,0,2,1,2020
Mohammed Shami,6,4,1,25,13,8.33,30,83.33,0,0,0,2,1,2020
Kuldeep Yadav,5,1,0,17,17,17,15,113.33,0,0,0,2,0,2020
YS Chahal,4,2,1,14,10,14,18,77.77,0,0,0,1,0,2020
JJ Bumrah,9,4,3,0,0*,0,6,0,0,0,1,0,0,2020
T Natarajan,1,-,-,-,-,-,-,-,-,-,-,-,-,2020
