Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,34,30,6,1268,115*,52.83,1300,97.53,4,7,3,137,20,2013
RG Sharma,28,27,4,1196,209,52,1480,80.81,2,8,0,119,30,2013
S Dhawan,26,25,2,1162,119,50.52,1187,97.89,5,4,1,146,9,2013
SK Raina,34,27,5,770,89*,35,911,84.52,0,5,2,66,10,2013
MS Dhoni,26,20,8,753,139*,62.75,784,96.04,1,5,1,67,24,2013
RA Jadeja,34,21,8,462,61*,35.53,571,80.91,0,1,0,39,13,2013
Yuvraj Singh,18,15,1,276,61,19.71,352,78.4,0,2,4,35,4,2013
KD Karthik,15,12,4,255,69,31.87,362,70.44,0,2,0,27,2,2013
R Ashwin,29,16,3,167,28,12.84,207,80.67,0,0,2,17,2,2013
G Gambhir,7,7,0,153,52,21.85,228,67.1,0,1,0,21,0,2013
AM Rahane,6,6,0,113,50,18.83,169,66.86,0,1,1,12,1,2013
AT Rayudu,4,3,1,101,63*,50.5,163,61.96,0,1,0,6,0,2013
B Kumar,25,12,5,94,31,13.42,129,72.86,0,0,3,10,1,2013
M Vijay,3,2,0,57,30,28.5,64,89.06,0,0,0,7,0,2013
R Vinay Kumar,9,4,1,43,27*,14.33,48,89.58,0,0,1,3,2,2013
V Sehwag,1,1,0,31,31,31,43,72.09,0,0,0,3,0,2013
I Sharma,22,9,6,19,7*,6.33,51,37.25,0,0,0,2,0,2013
Mohammed Shami,20,6,2,15,8,3.75,31,48.38,0,0,2,0,1,2013
CA Pujara,2,2,0,13,13,6.5,28,46.42,0,0,1,2,0,2013
A Mishra,6,1,0,9,9,9,7,128.57,0,0,0,1,0,2013
AB Dinda,2,2,0,3,3,1.5,6,50,0,0,1,0,0,2013
UT Yadav,11,2,0,1,1,0.5,11,9.09,0,0,1,0,0,2013
MM Sharma,5,1,1,0,0*,-,5,0,0,0,0,0,0,2013
JD Unadkat,7,-,-,-,-,-,-,-,-,-,-,-,-,2013
