Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,10,10,2,299,82,37.37,196,152.55,0,2,1,32,8,2017
RG Sharma,9,9,0,283,118,31.44,165,171.51,1,1,0,30,16,2017
KL Rahul,7,7,0,279,89,39.85,198,140.9,0,3,0,24,12,2017
MS Dhoni,13,12,6,252,56,42,182,138.46,0,1,0,19,9,2017
MK Pandey,9,8,3,172,51*,34.4,133,129.32,0,1,0,12,5,2017
S Dhawan,6,6,1,127,80,25.4,92,138.04,0,1,0,19,2,2017
SK Raina,3,3,0,104,63,34.66,78,133.33,0,1,0,6,6,2017
SS Iyer,6,5,0,83,30,16.6,80,103.75,0,0,1,8,1,2017
HH Pandya,11,9,1,76,25,9.5,63,120.63,0,0,1,1,4,2017
KD Karthik,4,3,2,71,48,71,43,165.11,0,0,0,6,4,2017
RR Pant,2,2,1,43,38,43,38,113.15,0,0,0,3,1,2017
Yuvraj Singh,3,3,0,43,27,14.33,35,122.85,0,0,0,2,3,2017
KM Jadhav,4,2,0,31,27,15.5,31,100,0,0,0,3,1,2017
Kuldeep Yadav,8,1,0,16,16,16,19,84.21,0,0,0,1,0,2017
RA Jadeja,1,1,1,13,13*,-,8,162.5,0,0,0,0,1,2017
R Ashwin,1,1,1,11,11*,-,7,157.14,0,0,0,1,0,2017
JJ Bumrah,11,4,3,8,7,8,11,72.72,0,0,0,1,0,2017
Parvez Rasool,1,1,0,5,5,5,6,83.33,0,0,0,0,0,2017
AR Patel,3,1,0,5,5,5,3,166.66,0,0,0,1,0,2017
YS Chahal,11,1,1,3,3*,-,2,150,0,0,0,0,0,2017
B Kumar,7,2,1,3,2*,3,9,33.33,0,0,0,0,0,2017
A Mishra,2,1,0,0,0,0,0,-,0,0,1,0,0,2017
Mohammed Shami,1,-,-,-,-,-,-,-,-,-,-,-,-,2017
Mohammed Siraj,2,-,-,-,-,-,-,-,-,-,-,-,-,2017
A Nehra,4,-,-,-,-,-,-,-,-,-,-,-,-,2017
JD Unadkat,3,-,-,-,-,-,-,-,-,-,-,-,-,2017
Washington Sundar,1,-,-,-,-,-,-,-,-,-,-,-,-,2017
