Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
Abhishek Sharma,21,21,1,859,135,42.95,444,193.46,1,5,0,85,54,2025
NT Tilak Varma,20,18,6,567,73,47.25,439,129.15,0,4,2,41,25,2025
HH Pandya,15,12,3,302,63,33.55,197,153.29,0,3,0,22,18,2025
Shubman Gill,15,15,3,291,47,24.25,212,137.26,0,0,1,38,4,2025
SV Samson,15,11,0,222,56,20.18,175,126.85,0,1,0,16,12,2025
SA Yadav,21,19,3,218,47*,13.62,177,123.16,0,0,3,18,10,2025
S Dube,17,12,3,191,53,21.22,125,152.8,0,1,0,18,10,2025
AR Patel,19,12,3,183,26,20.33,154,118.83,0,0,0,11,5,2025
Washington Sundar,6,4,1,93,49*,31,64,145.31,0,0,0,8,5,2025
JM Sharma,7,5,3,62,27,31,39,158.97,0,0,0,5,3,2025
Harshit Rana,6,2,1,48,35,48,41,117.07,0,0,0,3,2,2025
RK Singh,5,3,1,43,30,21.5,33,130.3,0,0,0,6,1,2025
Ravi Bishnoi,5,4,3,13,9*,13,9,144.44,0,0,1,3,0,2025
Arshdeep Singh,12,5,0,11,6,2.2,12,91.66,0,0,2,2,0,2025
DC Jurel,2,2,0,6,4,3,9,66.66,0,0,0,0,0,2025
Mohammed Shami,2,2,1,6,6,6,8,75,0,0,0,0,1,2025
CV Varun,20,4,3,2,1*,2,6,33.33,0,0,1,0,0,2025
Kuldeep Yadav,10,2,1,1,1*,1,9,11.11,0,0,1,0,0,2025
JJ Bumrah,13,2,1,0,0*,0,1,0,0,0,1,0,0,2025
K Nitish Kumar Reddy,1,-,-,-,-,-,-,-,-,-,-,-,-,2025
