Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
RG Sharma,17,17,1,815,150,50.93,854,95.43,3,4,2,75,23,2015
S Dhawan,20,20,0,745,137,37.25,872,85.43,2,4,0,91,9,2015
AM Rahane,21,20,2,722,87,40.11,907,79.6,0,6,1,67,8,2015
MS Dhoni,20,17,3,640,92*,45.71,737,86.83,0,4,0,50,11,2015
V Kohli,20,20,3,623,138,36.64,773,80.59,2,1,0,44,8,2015
SK Raina,20,17,1,517,110*,32.31,520,99.42,1,4,2,42,14,2015
AT Rayudu,7,7,1,267,124*,44.5,329,81.15,1,0,1,23,2,2015
STR Binny,8,7,2,190,77,38,183,103.82,0,1,0,17,5,2015
KM Jadhav,3,3,1,126,105*,63,113,111.5,1,0,0,14,1,2015
RA Jadeja,12,8,1,113,32,16.14,136,83.08,0,0,0,11,0,2015
M Vijay,3,3,0,86,72,28.66,125,68.8,0,1,0,3,2,2015
MK Pandey,1,1,0,71,71,71,86,82.55,0,1,0,4,1,2015
AR Patel,13,11,4,51,15*,7.28,69,73.91,0,0,3,0,3,2015
B Kumar,13,9,3,49,25*,8.16,79,62.02,0,0,2,3,1,2015
R Ashwin,13,8,5,48,16*,16,85,56.47,0,0,1,0,0,2015
Harbhajan Singh,7,5,2,47,22,15.66,48,97.91,0,0,2,3,1,2015
RV Uthappa,3,3,0,44,31,14.66,58,75.86,0,0,1,4,0,2015
Mohammed Shami,11,6,4,36,25,18,37,97.29,0,0,0,4,1,2015
MK Tiwary,3,3,0,34,22,11.33,73,46.57,0,0,0,0,1,2015
MM Sharma,15,5,3,18,11,9,31,58.06,0,0,1,3,0,2015
UT Yadav,14,4,1,6,4,2,19,31.57,0,0,1,1,0,2015
A Mishra,4,2,1,4,4,4,7,57.14,0,0,0,1,0,2015
DS Kulkarni,4,1,1,2,2*,-,2,100,0,0,0,0,0,2015
I Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,2015
