Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
B Kumar,12,12,40.3,1,267,12,4/22,22.25,6.59,20.2,1,0,2021
R Ashwin,5,5,20.0,0,105,9,3/20,11.66,5.25,13.3,0,0,2021
SN Thakur,7,7,21.5,0,216,8,3/42,27,9.89,16.3,0,0,2021
JJ Bumrah,5,5,18.4,1,95,7,2/10,13.57,5.08,16,0,0,2021
RA Jadeja,5,5,17.0,0,101,7,3/15,14.42,5.94,14.5,0,0,2021
RD Chahar,5,5,19.0,0,140,6,3/15,23.33,7.36,19,0,0,2021
Mohammed Shami,5,5,15.5,1,140,6,3/15,23.33,8.84,15.8,0,0,2021
YS Chahal,5,5,20.0,0,164,5,1/19,32.8,8.2,24,0,0,2021
DL Chahar,4,4,13.2,0,134,5,2/24,26.8,10.05,16,0,0,2021
HH Pandya,11,8,23.0,0,175,4,2/16,43.75,7.6,34.5,0,0,2021
AR Patel,4,4,14.0,0,90,4,3/9,22.5,6.42,21,0,0,2021
HV Patel,2,2,7.0,0,51,4,2/25,12.75,7.28,10.5,0,0,2021
Washington Sundar,5,5,15.3,0,138,4,2/29,34.5,8.9,23.2,0,0,2021
Kuldeep Yadav,2,2,6.0,0,46,2,2/30,23,7.66,18,0,0,2021
CV Varun,6,6,22.3,0,132,2,1/18,66,5.86,67.5,0,0,2021
VR Iyer,3,1,3.0,0,12,1,1/12,12,4,18,0,0,2021
Mohammed Siraj,1,1,4.0,0,39,1,1/39,39,9.75,24,0,0,2021
T Natarajan,1,1,4.0,0,39,1,1/39,39,9.75,24,0,0,2021
KH Pandya,1,1,2.0,0,16,1,1/16,16,8,12,0,0,2021
C Sakariya,2,1,3.4,0,34,1,1/34,34,9.27,22,0,0,2021
S Sandeep Warrier,1,1,3.0,0,23,0,-,-,7.66,-,0,0,2021
S Dhawan,4,-,-,-,-,-,-,-,-,-,-,-,2021
RD Gaikwad,2,-,-,-,-,-,-,-,-,-,-,-,2021
Ishan Kishan,5,-,-,-,-,-,-,-,-,-,-,-,2021
SS Iyer,8,-,-,-,-,-,-,-,-,-,-,-,2021
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,2021
D Padikkal,2,-,-,-,-,-,-,-,-,-,-,-,2021
RR Pant,13,-,-,-,-,-,-,-,-,-,-,-,2021
KL Rahul,11,-,-,-,-,-,-,-,-,-,-,-,2021
N Rana,2,-,-,-,-,-,-,-,-,-,-,-,2021
NA Saini,1,-,-,-,-,-,-,-,-,-,-,-,2021
SV Samson,3,-,-,-,-,-,-,-,-,-,-,-,2021
RG Sharma,11,-,-,-,-,-,-,-,-,-,-,-,2021
PP Shaw,1,-,-,-,-,-,-,-,-,-,-,-,2021
SA Yadav,11,-,-,-,-,-,-,-,-,-,-,-,2021
