Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
SA Yadav,31,31,6,1164,117,46.56,621,187.43,2,9,2,106,68,2022
V Kohli,20,20,6,781,122*,55.78,565,138.23,1,8,1,66,26,2022
RG Sharma,29,29,2,656,72,24.29,488,134.42,0,3,3,64,32,2022
HH Pandya,27,25,7,607,71*,33.72,416,145.91,0,3,1,47,30,2022
Ishan Kishan,16,16,0,476,89,29.75,372,127.95,0,3,0,52,18,2022
SS Iyer,17,17,4,463,74*,35.61,328,141.15,0,4,2,39,20,2022
KL Rahul,16,16,1,434,62,28.93,343,126.53,0,6,1,27,26,2022
RR Pant,25,21,4,364,52*,21.41,274,132.84,0,1,0,42,9,2022
DJ Hooda,15,12,3,302,104,33.55,201,150.24,1,0,2,27,13,2022
KD Karthik,28,22,8,287,55,20.5,203,141.37,0,1,1,29,13,2022
RA Jadeja,9,8,4,201,46*,50.25,142,141.54,0,0,0,19,5,2022
SV Samson,6,5,1,179,77,44.75,113,158.4,0,1,0,18,8,2022
RD Gaikwad,7,6,0,100,57,16.66,81,123.45,0,1,0,10,5,2022
VR Iyer,6,4,2,97,35*,48.5,54,179.62,0,0,0,11,4,2022
AR Patel,22,12,4,93,20*,11.62,67,138.8,0,0,1,10,3,2022
R Ashwin,14,8,5,61,15*,20.33,45,135.55,0,0,0,3,3,2022
HV Patel,22,9,4,59,17,11.8,46,128.26,0,0,1,7,2,2022
DL Chahar,7,1,0,31,31,31,17,182.35,0,0,0,2,3,2022
UT Yadav,2,1,1,20,20*,-,17,117.64,0,0,0,2,0,2022
Avesh Khan,15,3,2,10,8,10,7,142.85,0,0,0,0,1,2022
B Kumar,32,8,5,10,4*,3.33,18,55.55,0,0,1,0,0,2022
Ravi Bishnoi,10,2,1,10,8*,10,4,250,0,0,0,2,0,2022
Arshdeep Singh,21,4,4,6,2*,-,4,150,0,0,0,0,0,2022
Mohammed Siraj,4,1,0,5,5,5,7,71.42,0,0,0,1,0,2022
JJ Bumrah,5,1,1,0,0*,-,0,-,0,0,0,0,0,2022
Kuldeep Yadav,2,1,1,0,0*,-,0,-,0,0,0,0,0,2022
Mohammed Shami,6,1,0,0,0,0,2,0,0,0,1,0,0,2022
Washington Sundar,1,1,0,0,0,0,1,0,0,0,1,0,0,2022
YS Chahal,21,-,-,-,-,-,-,-,-,-,-,-,-,2022
SN Thakur,1,-,-,-,-,-,-,-,-,-,-,-,-,2022
Umran Malik,3,-,-,-,-,-,-,-,-,-,-,-,-,2022
