Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Kuldeep Yadav,30,29,217.4,13,1004,49,5/25,20.48,4.61,26.6,2,1,2023
Mohammed Siraj,25,24,172.1,17,910,44,6/21,20.68,5.28,23.4,2,1,2023
Mohammed Shami,19,19,132.5,12,708,43,7/57,16.46,5.32,18.5,1,4,2023
RA Jadeja,26,23,189.5,6,874,31,5/33,28.19,4.6,36.7,0,1,2023
JJ Bumrah,17,16,128.5,14,568,28,4/39,20.28,4.4,27.6,1,0,2023
HH Pandya,20,19,94.3,7,522,21,3/3,24.85,5.52,27,0,0,2023
SN Thakur,16,15,87.5,2,552,21,4/37,26.28,6.28,25,1,0,2023
Arshdeep Singh,3,3,27.0,1,95,10,5/37,9.5,3.51,16.2,1,1,2023
Avesh Khan,3,3,23.5,3,115,6,4/27,19.16,4.82,23.8,1,0,2023
Umran Malik,5,5,28.0,0,201,6,3/57,33.5,7.17,28,0,0,2023
R Ashwin,3,3,27.0,1,122,5,3/41,24.4,4.51,32.4,0,0,2023
Mukesh Kumar,6,6,39.0,4,217,5,3/30,43.4,5.56,46.8,0,0,2023
AR Patel,11,9,58.0,1,306,5,2/57,61.2,5.27,69.6,0,0,2023
M Prasidh Krishna,3,3,20.0,0,144,4,2/56,36,7.2,30,0,0,2023
Washington Sundar,7,5,36.0,1,192,4,2/7,48,5.33,54,0,0,2023
YS Chahal,2,2,17.2,0,101,3,2/43,33.66,5.82,34.6,0,0,2023
V Kohli,27,2,3.3,0,15,1,1/13,15,4.28,21,0,0,2023
RG Sharma,27,1,0.5,0,7,1,1/7,7,8.4,5,0,0,2023
RK Singh,2,1,1.0,0,2,1,1/2,2,2,6,0,0,2023
JD Unadkat,1,1,5.0,0,16,1,1/16,16,3.2,30,0,0,2023
SS Iyer,20,1,1.0,0,2,0,-,-,2,-,0,0,2023
B Sai Sudharsan,3,1,0.3,0,8,0,-,-,16,-,0,0,2023
Shubman Gill,29,1,2.0,0,11,0,-,-,5.5,-,0,0,2023
NT Tilak Varma,4,2,7.0,0,39,0,-,-,5.57,-,0,0,2023
SA Yadav,21,1,2.0,0,17,0,-,-,8.5,-,0,0,2023
RD Gaikwad,5,-,-,-,-,-,-,-,-,-,-,-,2023
Ishan Kishan,17,-,-,-,-,-,-,-,-,-,-,-,2023
RM Patidar,1,-,-,-,-,-,-,-,-,-,-,-,2023
KL Rahul,27,-,-,-,-,-,-,-,-,-,-,-,2023
SV Samson,5,-,-,-,-,-,-,-,-,-,-,-,2023
