Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,10,10,2,739,154*,92.37,739,100,3,4,0,62,8,2016
RG Sharma,10,10,1,564,171*,62.66,592,95.27,2,2,0,46,19,2016
S Dhawan,5,5,0,287,126,57.4,286,100.34,1,2,0,32,5,2016
AM Rahane,9,8,0,284,89,35.5,340,83.52,0,3,0,26,5,2016
MS Dhoni,13,10,0,278,80,27.8,347,80.11,0,1,1,18,9,2016
KL Rahul,3,3,2,196,100*,196,235,83.4,1,1,0,15,3,2016
MK Pandey,11,8,3,190,104*,38,185,102.7,1,0,1,16,2,2016
AT Rayudu,3,2,2,103,62*,-,164,62.8,0,1,0,12,0,2016
KM Jadhav,8,4,2,90,41,45,87,103.44,0,0,1,6,3,2016
AR Patel,8,3,0,79,38,26.33,80,98.75,0,0,0,4,3,2016
FY Fazal,1,1,1,55,55*,-,61,90.16,0,1,0,7,1,2016
KK Nair,2,2,0,46,39,23,88,52.27,0,0,0,6,0,2016
RA Jadeja,5,4,3,45,24*,45,42,107.14,0,0,0,2,0,2016
HH Pandya,4,2,0,45,36,22.5,45,100,0,0,0,3,0,2016
UT Yadav,10,4,2,27,18*,13.5,46,58.69,0,0,0,1,0,2016
DS Kulkarni,4,1,1,25,25*,-,26,96.15,0,0,0,2,1,2016
A Mishra,5,2,0,15,14,7.5,20,75,0,0,0,1,0,2016
Gurkeerat Singh,3,3,1,13,8,6.5,13,100,0,0,0,2,0,2016
R Dhawan,3,2,1,12,9,12,13,92.3,0,0,0,1,0,2016
B Kumar,2,1,0,2,2,2,6,33.33,0,0,0,0,0,2016
R Ashwin,2,1,0,1,1,1,2,50,0,0,0,0,0,2016
J Yadav,1,1,1,1,1*,-,1,100,0,0,0,0,0,2016
JJ Bumrah,8,1,0,0,0,0,1,0,0,0,1,0,0,2016
I Sharma,4,1,0,0,0,0,3,0,0,0,1,0,0,2016
YS Chahal,3,-,-,-,-,-,-,-,-,-,-,-,-,2016
BB Sran,6,-,-,-,-,-,-,-,-,-,-,-,-,2016
