Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,10,10,4,466,94*,77.66,315,147.93,0,5,0,29,23,2019
RG Sharma,14,14,0,396,85,28.28,286,138.46,0,4,0,33,22,2019
KL Rahul,9,9,1,356,91,44.5,250,142.4,0,4,0,35,14,2019
S Dhawan,12,12,0,272,41,22.66,246,110.56,0,0,0,28,7,2019
RR Pant,16,15,3,252,65*,21,202,124.75,0,1,2,16,12,2019
SS Iyer,8,8,3,143,62,28.6,98,145.91,0,1,0,10,8,2019
MS Dhoni,5,5,2,130,40,43.33,112,116.07,0,0,0,9,5,2019
KH Pandya,12,7,3,98,26*,24.5,79,124.05,0,0,0,5,6,2019
V Shankar,4,3,0,84,43,28,54,155.55,0,0,0,8,5,2019
S Dube,6,4,2,64,54,32,42,152.38,0,1,0,3,4,2019
MK Pandey,4,4,2,49,22*,24.5,40,122.5,0,0,0,5,0,2019
RA Jadeja,6,4,2,47,19,23.5,41,114.63,0,0,0,1,2,2019
KD Karthik,5,4,2,47,33*,23.5,28,167.85,0,0,0,2,4,2019
HH Pandya,5,3,0,39,21,13,33,118.18,0,0,0,3,2,2019
Washington Sundar,11,4,2,26,14*,13,12,216.66,0,0,1,1,3,2019
UT Yadav,1,1,0,2,2,2,4,50,0,0,0,0,0,2019
KK Ahmed,8,1,1,1,1*,-,1,100,0,0,0,0,0,2019
YS Chahal,9,2,1,1,1,1,7,14.28,0,0,0,0,0,2019
DL Chahar,9,2,2,1,1*,-,1,100,0,0,0,0,0,2019
B Kumar,9,1,0,1,1,1,3,33.33,0,0,0,0,0,2019
NA Saini,5,1,1,0,0*,-,1,0,0,0,0,0,0,2019
JJ Bumrah,2,-,-,-,-,-,-,-,-,-,-,-,-,2019
RD Chahar,1,-,-,-,-,-,-,-,-,-,-,-,-,2019
S Kaul,1,-,-,-,-,-,-,-,-,-,-,-,-,2019
Kuldeep Yadav,2,-,-,-,-,-,-,-,-,-,-,-,-,2019
M Markande,1,-,-,-,-,-,-,-,-,-,-,-,-,2019
Mohammed Shami,1,-,-,-,-,-,-,-,-,-,-,-,-,2019
