Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Arshdeep Singh,18,18,64.5,1,486,36,4/9,13.5,7.49,10.8,1,0,2024
Ravi Bishnoi,16,16,61.0,3,459,22,4/13,20.86,7.52,16.6,1,0,2024
AR Patel,16,16,46.0,1,326,20,3/23,16.3,7.08,13.8,0,0,2024
CV Varun,7,7,28.0,0,211,17,5/17,12.41,7.53,9.8,0,1,2024
HH Pandya,17,16,51.0,3,420,16,3/20,26.25,8.23,19.1,0,0,2024
Washington Sundar,12,12,35.0,0,204,16,3/15,12.75,5.82,13.1,0,0,2024
JJ Bumrah,8,8,29.4,2,124,15,3/7,8.26,4.17,11.8,0,0,2024
Kuldeep Yadav,6,6,23.0,0,170,11,3/19,15.45,7.39,12.5,0,0,2024
Mukesh Kumar,6,6,20.1,0,173,10,4/22,17.3,8.57,12.1,1,0,2024
Avesh Khan,6,6,20.5,0,189,9,3/15,21,9.07,13.8,0,0,2024
S Dube,15,7,16.0,0,144,5,2/25,28.8,9,19.2,0,0,2024
R Parag,9,5,12.2,0,83,4,3/5,20.75,6.72,18.5,0,0,2024
MP Yadav,3,3,12.0,1,83,4,2/32,20.75,6.91,18,0,0,2024
Abhishek Sharma,12,7,16.0,0,134,3,1/10,44.66,8.37,32,0,0,2024
KK Ahmed,4,4,14.0,0,103,3,2/32,34.33,7.35,28,0,0,2024
K Nitish Kumar Reddy,3,3,9.0,0,71,3,2/23,23.66,7.88,18,0,0,2024
TU Deshpande,2,2,6.0,0,55,2,1/25,27.5,9.16,18,0,0,2024
Mohammed Siraj,6,6,20.0,0,118,2,1/13,59,5.9,60,0,0,2024
RK Singh,18,1,1.0,0,3,2,2/3,1.5,3,3,0,0,2024
SA Yadav,18,1,1.0,0,5,2,2/5,2.5,5,3,0,0,2024
RA Jadeja,8,7,14.0,0,106,1,1/20,106,7.57,84,0,0,2024
Ramandeep Singh,2,1,3.2,0,42,1,1/42,42,12.6,20,0,0,2024
RD Gaikwad,4,-,-,-,-,-,-,-,-,-,-,-,2024
YBK Jaiswal,8,-,-,-,-,-,-,-,-,-,-,-,2024
DC Jurel,2,-,-,-,-,-,-,-,-,-,-,-,2024
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,2024
RR Pant,10,-,-,-,-,-,-,-,-,-,-,-,2024
B Sai Sudharsan,1,-,-,-,-,-,-,-,-,-,-,-,2024
SV Samson,13,-,-,-,-,-,-,-,-,-,-,-,2024
JM Sharma,2,-,-,-,-,-,-,-,-,-,-,-,2024
RG Sharma,11,-,-,-,-,-,-,-,-,-,-,-,2024
Shubman Gill,8,-,-,-,-,-,-,-,-,-,-,-,2024
NT Tilak Varma,5,-,-,-,-,-,-,-,-,-,-,-,2024
