Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Yuvraj Singh,10,10,28.4,0,179,15,3/17,11.93,6.24,11.4,0,0,2012
AB Dinda,6,6,20.0,1,169,12,4/19,14.08,8.45,10,1,0,2012
IK Pathan,8,8,26.0,0,223,12,3/27,18.58,8.57,13,0,0,2012
R Ashwin,12,12,46.5,1,340,10,2/16,34,7.25,28.1,0,0,2012
L Balaji,5,5,16.0,0,121,10,3/19,12.1,7.56,9.6,0,0,2012
Harbhajan Singh,2,2,6.0,2,32,4,4/12,8,5.33,9,1,0,2012
Z Khan,5,5,17.0,0,121,4,3/22,30.25,7.11,25.5,0,0,2012
B Kumar,2,2,8.0,0,55,4,3/9,13.75,6.87,12,0,0,2012
SK Raina,14,4,10.0,0,93,3,2/49,31,9.3,20,0,0,2012
R Sharma,2,2,7.2,0,56,3,2/29,18.66,7.63,14.6,0,0,2012
PP Chawla,4,4,12.0,1,82,2,2/13,41,6.83,36,0,0,2012
P Kumar,3,3,8.0,0,77,2,2/21,38.5,9.62,24,0,0,2012
I Sharma,2,2,8.0,0,57,2,1/23,28.5,7.12,24,0,0,2012
R Vinay Kumar,3,3,11.0,0,85,2,1/25,42.5,7.72,33,0,0,2012
RA Jadeja,4,4,10.4,0,90,1,1/16,90,8.43,64,0,0,2012
V Kohli,14,8,15.0,0,124,1,1/21,124,8.26,90,0,0,2012
UT Yadav,1,1,3.0,0,24,1,1/24,24,8,18,0,0,2012
P Awana,2,2,6.0,0,71,0,-,-,11.83,-,0,0,2012
YK Pathan,1,1,1.0,0,9,0,-,-,9,-,0,0,2012
RG Sharma,13,6,5.2,0,60,0,-,-,11.25,-,0,0,2012
MS Dhoni,14,-,-,-,-,-,-,-,-,-,-,-,2012
G Gambhir,14,-,-,-,-,-,-,-,-,-,-,-,2012
AM Rahane,5,-,-,-,-,-,-,-,-,-,-,-,2012
V Sehwag,5,-,-,-,-,-,-,-,-,-,-,-,2012
MK Tiwary,2,-,-,-,-,-,-,-,-,-,-,-,2012
RV Uthappa,1,-,-,-,-,-,-,-,-,-,-,-,2012
