Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
SV Samson,13,12,2,436,111,43.6,242,180.16,3,1,5,35,31,2024
SA Yadav,18,17,1,429,75,26.81,283,151.59,0,4,0,41,22,2024
RG Sharma,11,11,2,378,121*,42,236,160.16,1,3,2,35,23,2024
HH Pandya,17,14,6,352,50*,44,234,150.42,0,1,0,33,19,2024
NT Tilak Varma,5,5,2,306,120*,102,163,187.73,2,0,0,23,21,2024
S Dube,15,13,4,296,63*,32.88,220,134.54,0,2,1,18,15,2024
YBK Jaiswal,8,8,1,293,93*,41.85,170,172.35,0,2,0,32,16,2024
Shubman Gill,8,8,1,266,66,38,200,133,0,2,0,34,6,2024
Abhishek Sharma,12,11,0,256,100,23.27,149,171.81,1,1,1,22,19,2024
RK Singh,18,14,7,245,69*,35,162,151.23,0,2,1,14,16,2024
RR Pant,10,10,2,222,49,27.75,169,131.36,0,0,1,25,7,2024
V Kohli,10,10,0,180,76,18,151,119.2,0,1,3,13,7,2024
AR Patel,16,9,3,137,47,22.83,100,137,0,0,0,10,7,2024
RD Gaikwad,4,3,1,133,77*,66.5,84,158.33,0,1,0,16,4,2024
R Parag,9,6,0,106,34,17.66,70,151.42,0,0,0,3,9,2024
K Nitish Kumar Reddy,3,3,1,90,74,45,50,180,0,1,1,4,8,2024
Washington Sundar,12,5,3,54,27,27,54,100,0,0,0,3,2,2024
RA Jadeja,8,5,2,35,17*,11.66,22,159.09,0,0,1,3,1,2024
Arshdeep Singh,18,7,5,31,9,15.5,29,106.89,0,0,0,2,2,2024
JM Sharma,2,2,0,31,31,15.5,22,140.9,0,0,1,5,0,2024
Ravi Bishnoi,16,3,1,18,9,9,19,94.73,0,0,0,3,0,2024
Avesh Khan,6,1,0,16,16,16,12,133.33,0,0,0,3,0,2024
Ramandeep Singh,2,1,0,15,15,15,6,250,0,0,0,1,1,2024
Mohammed Siraj,6,2,1,7,7*,7,8,87.5,0,0,1,0,0,2024
DC Jurel,2,1,0,6,6,6,14,42.85,0,0,0,1,0,2024
MP Yadav,3,1,1,1,1*,-,1,100,0,0,0,0,0,2024
KK Ahmed,4,1,1,0,0*,-,1,0,0,0,0,0,0,2024
JJ Bumrah,8,1,0,0,0,0,1,0,0,0,1,0,0,2024
Mukesh Kumar,6,1,0,0,0,0,3,0,0,0,1,0,0,2024
CV Varun,7,1,0,0,0,0,2,0,0,0,1,0,0,2024
TU Deshpande,2,-,-,-,-,-,-,-,-,-,-,-,-,2024
Kuldeep Yadav,6,-,-,-,-,-,-,-,-,-,-,-,-,2024
B Sai Sudharsan,1,-,-,-,-,-,-,-,-,-,-,-,-,2024
