Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
Shubman Gill,29,29,4,1584,208,63.36,1502,105.45,5,9,1,180,41,2023
V Kohli,27,24,5,1377,166*,72.47,1389,99.13,6,8,1,122,24,2023
RG Sharma,27,26,2,1255,131,52.29,1072,117.07,2,9,2,131,67,2023
KL Rahul,27,24,8,1060,111*,66.25,1208,87.74,2,7,0,93,18,2023
SS Iyer,20,19,3,846,128*,52.87,752,112.5,3,4,1,67,32,2023
Ishan Kishan,17,15,2,456,82,35.07,487,93.63,0,4,1,46,13,2023
SA Yadav,21,20,2,389,72*,21.61,354,109.88,0,2,3,39,13,2023
HH Pandya,20,13,2,383,87,34.81,404,94.8,0,3,0,27,13,2023
RA Jadeja,26,17,7,309,45*,30.9,412,75,0,0,0,20,4,2023
SV Samson,5,4,0,180,108,45,197,91.37,1,1,0,9,7,2023
AR Patel,11,10,2,140,42,17.5,169,82.84,0,0,0,5,6,2023
B Sai Sudharsan,3,3,1,127,62,63.5,142,89.43,0,2,0,17,1,2023
RD Gaikwad,5,5,0,96,71,19.2,115,83.47,0,1,0,15,0,2023
NT Tilak Varma,4,4,1,68,52,22.66,119,57.14,0,1,0,6,1,2023
Kuldeep Yadav,30,12,4,62,10*,7.75,136,45.58,0,0,1,4,0,2023
SN Thakur,16,6,0,59,25,9.83,62,95.16,0,0,0,5,1,2023
RK Singh,2,2,0,55,38,27.5,41,134.14,0,0,0,5,3,2023
Washington Sundar,7,4,0,53,18,13.25,67,79.1,0,0,0,4,1,2023
JJ Bumrah,17,6,1,44,16,8.8,66,66.66,0,0,0,5,0,2023
Mohammed Shami,19,9,3,36,14,6,43,83.72,0,0,1,3,1,2023
Mohammed Siraj,25,7,5,26,9*,13,52,50,0,0,1,1,0,2023
Arshdeep Singh,3,2,1,25,18,25,19,131.57,0,0,0,1,2,2023
RM Patidar,1,1,0,22,22,22,16,137.5,0,0,0,3,1,2023
Avesh Khan,3,2,1,10,9,10,11,90.9,0,0,0,0,1,2023
Mukesh Kumar,6,2,1,10,6,10,16,62.5,0,0,0,2,0,2023
Umran Malik,5,2,1,2,2*,2,7,28.57,0,0,1,0,0,2023
M Prasidh Krishna,3,2,2,0,0*,-,5,0,0,0,0,0,0,2023
R Ashwin,3,-,-,-,-,-,-,-,-,-,-,-,-,2023
YS Chahal,2,-,-,-,-,-,-,-,-,-,-,-,-,2023
JD Unadkat,1,-,-,-,-,-,-,-,-,-,-,-,-,2023
