Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
RA Jadeja,34,34,303.3,22,1321,52,5/36,25.4,4.35,35,1,1,2013
R Ashwin,29,29,259.5,6,1353,40,3/39,33.82,5.2,38.9,0,0,2013
I Sharma,22,22,176.2,14,993,35,4/40,28.37,5.63,30.2,1,0,2013
Mohammed Shami,20,20,167.1,13,902,30,3/42,30.06,5.39,33.4,0,0,2013
B Kumar,25,25,203.0,25,948,28,4/8,33.85,4.66,43.5,1,0,2013
A Mishra,6,6,57.3,2,287,18,6/48,15.94,4.99,19.1,1,1,2013
UT Yadav,11,11,81.0,5,467,12,3/32,38.91,5.76,40.5,0,0,2013
R Vinay Kumar,9,9,74.3,5,498,10,2/50,49.8,6.68,44.7,0,0,2013
SK Raina,34,21,77.0,2,371,8,3/34,46.37,4.81,57.7,0,0,2013
JD Unadkat,7,7,52.0,5,209,8,4/41,26.12,4.01,39,1,0,2013
MM Sharma,5,5,39.3,3,228,4,2/26,57,5.77,59.2,0,0,2013
AB Dinda,2,2,15.0,0,95,2,2/53,47.5,6.33,45,0,0,2013
Yuvraj Singh,18,7,21.0,0,145,2,2/34,72.5,6.9,63,0,0,2013
V Kohli,34,12,25.0,0,178,1,1/15,178,7.12,150,0,0,2013
MS Dhoni,26,1,4.0,0,17,0,-,-,4.25,-,0,0,2013
RG Sharma,28,1,2.0,0,4,0,-,-,2,-,0,0,2013
S Dhawan,26,-,-,-,-,-,-,-,-,-,-,-,2013
G Gambhir,7,-,-,-,-,-,-,-,-,-,-,-,2013
KD Karthik,15,-,-,-,-,-,-,-,-,-,-,-,2013
CA Pujara,2,-,-,-,-,-,-,-,-,-,-,-,2013
AM Rahane,6,-,-,-,-,-,-,-,-,-,-,-,2013
AT Rayudu,4,-,-,-,-,-,-,-,-,-,-,-,2013
V Sehwag,1,-,-,-,-,-,-,-,-,-,-,-,2013
M Vijay,3,-,-,-,-,-,-,-,-,-,-,-,2013
