Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
B Kumar,32,31,103.4,7,724,37,5/4,19.56,6.98,16.8,2,1,2022
Arshdeep Singh,21,21,73.1,1,598,33,4/37,18.12,8.17,13.3,1,0,2022
YS Chahal,21,20,69.3,0,536,23,3/20,23.3,7.71,18.1,0,0,2022
HV Patel,22,21,72.5,0,678,23,4/25,29.47,9.3,19,1,0,2022
AR Patel,22,21,61.1,1,500,21,3/15,23.8,8.17,17.4,0,0,2022
HH Pandya,27,23,64.0,0,544,20,4/33,27.2,8.5,19.2,1,0,2022
Ravi Bishnoi,10,10,38.4,0,274,16,4/16,17.12,7.08,14.5,1,0,2022
Avesh Khan,15,14,46.2,1,422,13,4/18,32.46,9.1,21.3,1,0,2022
R Ashwin,14,14,51.0,1,374,11,3/22,34,7.33,27.8,0,0,2022
Mohammed Siraj,4,4,16.0,1,107,7,4/17,15.28,6.68,13.7,1,0,2022
DL Chahar,7,7,24.5,1,207,6,2/15,34.5,8.33,24.8,0,0,2022
Mohammed Shami,6,6,20.0,0,143,6,2/14,23.83,7.15,20,0,0,2022
DJ Hooda,15,6,9.5,0,45,5,4/10,9,4.57,11.8,1,0,2022
RA Jadeja,9,8,27.0,0,200,5,1/15,40,7.4,32.4,0,0,2022
JJ Bumrah,5,5,16.0,1,126,4,2/10,31.5,7.87,24,0,0,2022
VR Iyer,6,3,6.1,0,63,4,2/23,15.75,10.21,9.2,0,0,2022
Kuldeep Yadav,2,2,8.0,1,34,3,3/12,11.33,4.25,16,0,0,2022
UT Yadav,2,2,5.0,0,61,3,2/27,20.33,12.2,10,0,0,2022
SN Thakur,1,1,4.0,0,33,2,2/33,16.5,8.25,12,0,0,2022
Umran Malik,3,3,9.0,0,112,2,1/42,56,12.44,27,0,0,2022
Washington Sundar,1,1,2.0,0,24,1,1/24,24,12,12,0,0,2022
SS Iyer,17,1,0.2,0,2,0,-,-,6,-,0,0,2022
KD Karthik,28,1,1.0,0,18,0,-,-,18,-,0,0,2022
V Kohli,20,1,1.0,0,6,0,-,-,6,-,0,0,2022
RD Gaikwad,7,-,-,-,-,-,-,-,-,-,-,-,2022
Ishan Kishan,16,-,-,-,-,-,-,-,-,-,-,-,2022
RR Pant,25,-,-,-,-,-,-,-,-,-,-,-,2022
KL Rahul,16,-,-,-,-,-,-,-,-,-,-,-,2022
SV Samson,6,-,-,-,-,-,-,-,-,-,-,-,2022
RG Sharma,29,-,-,-,-,-,-,-,-,-,-,-,2022
SA Yadav,31,-,-,-,-,-,-,-,-,-,-,-,2022
