Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
UT Yadav,14,14,110.2,6,632,25,4/31,25.28,5.72,26.4,2,0,2015
MM Sharma,15,15,115.4,5,651,23,3/48,28.3,5.62,30.1,0,0,2015
R Ashwin,13,13,120.4,9,516,21,4/25,24.57,4.27,34.4,1,0,2015
Mohammed Shami,11,10,82.1,7,392,19,4/35,20.63,4.77,25.9,1,0,2015
B Kumar,13,13,103.3,6,577,16,4/33,36.06,5.57,38.8,1,0,2015
AR Patel,13,12,107.1,4,523,14,3/39,37.35,4.88,45.9,0,0,2015
STR Binny,8,7,56.0,1,322,11,3/33,29.27,5.75,30.5,0,0,2015
Harbhajan Singh,7,7,70.0,0,322,10,2/35,32.2,4.6,42,0,0,2015
RA Jadeja,12,11,91.3,0,495,10,2/23,49.5,5.4,54.9,0,0,2015
DS Kulkarni,4,4,33.0,1,175,5,2/34,35,5.3,39.6,0,0,2015
SK Raina,20,13,52.0,1,281,5,3/45,56.2,5.4,62.4,0,0,2015
A Mishra,4,4,40.0,1,218,4,2/47,54.5,5.45,60,0,0,2015
AT Rayudu,7,1,2.0,1,5,1,1/5,5,2.5,12,0,0,2015
M Vijay,3,2,6.0,0,37,1,1/19,37,6.16,36,0,0,2015
V Kohli,20,4,5.2,0,34,0,-,-,6.37,-,0,0,2015
RG Sharma,17,1,3.0,0,21,0,-,-,7,-,0,0,2015
MK Tiwary,3,1,1.0,0,6,0,-,-,6,-,0,0,2015
S Dhawan,20,-,-,-,-,-,-,-,-,-,-,-,2015
MS Dhoni,20,-,-,-,-,-,-,-,-,-,-,-,2015
KM Jadhav,3,-,-,-,-,-,-,-,-,-,-,-,2015
MK Pandey,1,-,-,-,-,-,-,-,-,-,-,-,2015
AM Rahane,21,-,-,-,-,-,-,-,-,-,-,-,2015
I Sharma,1,-,-,-,-,-,-,-,-,-,-,-,2015
RV Uthappa,3,-,-,-,-,-,-,-,-,-,-,-,2015
