Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
IK Pathan,12,12,101.1,3,554,19,5/61,29.15,5.47,31.9,1,1,2012
R Ashwin,16,16,146.0,5,686,17,3/32,40.35,4.69,51.5,0,0,2012
R Vinay Kumar,7,7,64.0,4,344,12,3/21,28.66,5.37,32,0,0,2012
Z Khan,9,9,80.0,2,427,9,2/39,47.44,5.33,53.3,0,0,2012
P Kumar,7,7,63.0,1,370,8,3/56,46.25,5.87,47.2,0,0,2012
AB Dinda,6,6,46.1,1,289,7,2/47,41.28,6.25,39.5,0,0,2012
UT Yadav,8,8,62.0,1,413,7,2/39,59,6.66,53.1,0,0,2012
RA Jadeja,10,9,71.4,0,390,4,1/32,97.5,5.44,107.5,0,0,2012
V Sehwag,10,6,27.0,1,137,4,3/43,34.25,5.07,40.5,0,0,2012
MK Tiwary,2,2,11.0,1,75,4,4/61,18.75,6.81,16.5,1,0,2012
B Kumar,1,1,9.0,3,27,2,2/27,13.5,3,27,0,0,2012
R Sharma,2,2,14.2,0,89,2,1/44,44.5,6.2,43,0,0,2012
RG Sharma,14,10,26.0,0,138,2,1/17,69,5.3,78,0,0,2012
PP Ojha,2,2,6.5,0,51,1,1/44,51,7.46,41,0,0,2012
SK Raina,17,9,32.3,1,189,1,1/10,189,5.81,195,0,0,2012
I Sharma,1,1,10.0,0,39,1,1/39,39,3.9,60,0,0,2012
V Kohli,17,5,7.5,0,49,0,-,-,6.25,-,0,0,2012
YK Pathan,1,1,5.0,0,30,0,-,-,6,-,0,0,2012
SR Tendulkar,10,1,1.4,0,12,0,-,-,7.2,-,0,0,2012
Yuvraj Singh,1,1,5.0,0,33,0,-,-,6.6,-,0,0,2012
MS Dhoni,16,-,-,-,-,-,-,-,-,-,-,-,2012
G Gambhir,16,-,-,-,-,-,-,-,-,-,-,-,2012
PA Patel,1,-,-,-,-,-,-,-,-,-,-,-,2012
AM Rahane,1,-,-,-,-,-,-,-,-,-,-,-,2012
