Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
YS Chahal,11,11,41.3,0,325,23,6/25,14.13,7.83,10.8,2,1,2017
JJ Bumrah,11,11,34.4,0,240,12,3/14,20,6.92,17.3,0,0,2017
Kuldeep Yadav,8,8,29.0,0,222,12,3/52,18.5,7.65,14.5,0,0,2017
HH Pandya,11,10,24.2,0,188,8,3/29,23.5,7.72,18.2,0,0,2017
B Kumar,7,7,23.4,0,170,5,1/9,34,7.18,28.4,0,0,2017
JD Unadkat,3,3,9.0,0,44,4,2/15,11,4.88,13.5,0,0,2017
A Nehra,4,4,14.0,1,112,3,3/28,37.33,8,28,0,0,2017
A Mishra,2,2,8.0,0,48,2,1/23,24,6,24,0,0,2017
Mohammed Siraj,2,2,8.0,0,98,2,1/45,49,12.25,24,0,0,2017
AR Patel,3,3,11.0,0,88,2,2/20,44,8,33,0,0,2017
Parvez Rasool,1,1,4.0,0,32,1,1/32,32,8,24,0,0,2017
Washington Sundar,1,1,4.0,0,22,1,1/22,22,5.5,24,0,0,2017
R Ashwin,1,1,4.0,0,39,0,-,-,9.75,-,0,0,2017
RA Jadeja,1,1,3.3,0,41,0,-,-,11.71,-,0,0,2017
Mohammed Shami,1,1,3.0,0,46,0,-,-,15.33,-,0,0,2017
SK Raina,3,3,7.0,0,69,0,-,-,9.85,-,0,0,2017
S Dhawan,6,-,-,-,-,-,-,-,-,-,-,-,2017
MS Dhoni,13,-,-,-,-,-,-,-,-,-,-,-,2017
SS Iyer,6,-,-,-,-,-,-,-,-,-,-,-,2017
KM Jadhav,4,-,-,-,-,-,-,-,-,-,-,-,2017
KD Karthik,4,-,-,-,-,-,-,-,-,-,-,-,2017
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,2017
MK Pandey,9,-,-,-,-,-,-,-,-,-,-,-,2017
RR Pant,2,-,-,-,-,-,-,-,-,-,-,-,2017
KL Rahul,7,-,-,-,-,-,-,-,-,-,-,-,2017
RG Sharma,9,-,-,-,-,-,-,-,-,-,-,-,2017
Yuvraj Singh,3,-,-,-,-,-,-,-,-,-,-,-,2017
