Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
SK Raina,4,4,0,115,41,28.75,77,149.35,0,0,0,8,8,2011
RG Sharma,3,3,0,80,53,26.66,60,133.33,0,1,0,5,4,2011
V Kohli,4,4,0,61,28,15.25,52,117.3,0,0,0,10,0,2011
AM Rahane,2,2,0,61,61,30.5,42,145.23,0,1,1,8,0,2011
S Badrinath,1,1,0,43,43,43,37,116.21,0,0,0,5,0,2011
MS Dhoni,3,3,1,39,21,19.5,45,86.66,0,0,0,1,1,2011
PA Patel,2,2,0,36,26,18,32,112.5,0,0,0,4,1,2011
R Dravid,1,1,0,31,31,31,21,147.61,0,0,0,0,3,2011
YK Pathan,3,3,1,31,15*,15.5,26,119.23,0,0,0,1,2,2011
R Ashwin,4,2,1,21,17*,21,13,161.53,0,0,0,4,0,2011
Harbhajan Singh,1,1,1,15,15*,-,7,214.28,0,0,0,1,1,2011
MK Tiwary,1,1,0,15,15,15,17,88.23,0,0,0,0,0,2011
M Vijay,1,1,0,14,14,14,12,116.66,0,0,0,3,0,2011
Yuvraj Singh,1,1,0,12,12,12,13,92.3,0,0,0,1,0,2011
S Dhawan,1,1,0,5,5,5,11,45.45,0,0,0,0,0,2011
R Vinay Kumar,2,1,1,2,2*,-,4,50,0,0,0,0,0,2011
P Kumar,4,2,0,1,1,0.5,6,16.66,0,0,1,0,0,2011
RV Uthappa,1,1,0,1,1,1,3,33.33,0,0,0,0,0,2011
RA Jadeja,1,1,0,0,0,0,1,0,0,0,1,0,0,2011
MM Patel,3,1,0,0,0,0,1,0,0,0,1,0,0,2011
A Nehra,1,-,-,-,-,-,-,-,-,-,-,-,-,2011
