Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
RG Sharma,28,27,1,1490,159,57.3,1657,89.92,7,6,1,146,36,2019
V Kohli,26,25,2,1377,123,59.86,1429,96.36,5,7,1,133,8,2019
MS Dhoni,18,16,6,600,87*,60,729,82.3,0,6,1,42,11,2019
S Dhawan,18,17,1,583,143,36.43,635,91.81,2,2,2,74,4,2019
KL Rahul,13,13,1,572,111,47.66,705,81.13,2,3,1,49,9,2019
KM Jadhav,23,19,8,470,81*,42.72,506,92.88,0,3,0,46,6,2019
RR Pant,12,11,0,305,71,27.72,297,102.69,0,1,1,33,8,2019
HH Pandya,12,11,2,287,48,31.88,243,118.1,0,0,1,27,9,2019
SS Iyer,6,5,0,266,71,53.2,236,112.71,0,4,0,17,11,2019
AT Rayudu,10,10,2,247,90,30.87,328,75.3,0,1,2,24,6,2019
V Shankar,12,8,1,223,46,31.85,246,90.65,0,0,0,20,4,2019
RA Jadeja,15,9,3,206,77,34.33,214,96.26,0,1,1,11,5,2019
KD Karthik,8,6,2,89,38*,22.25,110,80.9,0,0,1,9,1,2019
B Kumar,19,8,1,86,46,12.28,105,81.9,0,0,1,7,2,2019
Kuldeep Yadav,23,8,3,41,15,8.2,73,56.16,0,0,0,3,0,2019
YS Chahal,16,4,2,23,18*,11.5,44,52.27,0,0,1,4,0,2019
Mohammed Shami,21,10,3,20,8,2.85,30,66.66,0,0,1,2,0,2019
SN Thakur,2,1,1,17,17*,-,6,283.33,0,0,0,2,1,2019
Shubman Gill,2,2,0,16,9,8,32,50,0,0,0,2,0,2019
S Dube,1,1,0,9,9,9,6,150,0,0,0,1,0,2019
JJ Bumrah,14,7,6,8,6*,8,9,88.88,0,0,1,0,1,2019
DL Chahar,2,1,1,6,6*,-,8,75,0,0,0,0,0,2019
KK Ahmed,5,1,0,5,5,5,5,100,0,0,0,1,0,2019
Mohammed Siraj,1,-,-,-,-,-,-,-,-,-,-,-,-,2019
NA Saini,1,-,-,-,-,-,-,-,-,-,-,-,-,2019
