Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
S Dhawan,18,17,0,689,92,40.52,468,147.22,0,6,0,70,25,2018
RG Sharma,19,18,2,590,111*,36.87,400,147.5,2,3,3,51,31,2018
KL Rahul,13,11,2,324,101*,36,217,149.3,1,1,0,26,16,2018
MK Pandey,13,11,7,299,79*,74.75,247,121.05,0,1,0,21,7,2018
SK Raina,13,11,0,298,69,27.09,207,143.96,0,1,1,29,11,2018
V Kohli,10,9,2,211,61*,30.14,173,121.96,0,1,1,10,8,2018
KD Karthik,13,10,8,181,39*,90.5,114,158.77,0,0,0,20,6,2018
MS Dhoni,7,5,2,123,52*,41,79,155.69,0,1,0,13,4,2018
HH Pandya,8,6,5,117,33*,117,58,201.72,0,0,0,7,9,2018
RR Pant,8,7,0,114,58,16.28,96,118.75,0,1,1,9,5,2018
KH Pandya,6,2,1,23,21*,23,13,176.92,0,0,0,3,0,2018
V Shankar,5,1,0,17,17,17,19,89.47,0,0,0,3,0,2018
Kuldeep Yadav,9,1,1,4,4*,-,1,400,0,0,0,1,0,2018
B Kumar,11,2,2,4,3*,-,2,200,0,0,0,0,0,2018
AR Patel,1,1,1,1,1*,-,1,100,0,0,0,0,0,2018
Washington Sundar,6,1,1,0,0*,-,0,-,0,0,0,0,0,2018
KK Ahmed,6,-,-,-,-,-,-,-,-,-,-,-,-,2018
JJ Bumrah,8,-,-,-,-,-,-,-,-,-,-,-,-,2018
YS Chahal,13,-,-,-,-,-,-,-,-,-,-,-,-,2018
DL Chahar,1,-,-,-,-,-,-,-,-,-,-,-,-,2018
S Kaul,2,-,-,-,-,-,-,-,-,-,-,-,-,2018
Mohammed Siraj,1,-,-,-,-,-,-,-,-,-,-,-,-,2018
SN Thakur,7,-,-,-,-,-,-,-,-,-,-,-,-,2018
JD Unadkat,6,-,-,-,-,-,-,-,-,-,-,-,-,2018
UT Yadav,5,-,-,-,-,-,-,-,-,-,-,-,-,2018
