Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
DL Chahar,9,9,31.5,1,208,16,6/7,13,6.53,11.9,0,1,2019
YS Chahal,9,9,35.0,0,314,8,2/28,39.25,8.97,26.2,0,0,2019
B Kumar,9,9,33.0,0,271,8,2/19,33.87,8.21,24.7,0,0,2019
KH Pandya,12,12,42.2,1,343,8,3/28,42.87,8.1,31.7,0,0,2019
KK Ahmed,8,8,29.0,0,260,7,2/27,37.14,8.96,24.8,0,0,2019
NA Saini,5,5,17.0,1,137,6,3/17,22.83,8.05,17,0,0,2019
HH Pandya,5,5,18.0,0,185,5,2/51,37,10.27,21.6,0,0,2019
Washington Sundar,11,11,35.0,1,248,5,1/12,49.6,7.08,42,0,0,2019
RA Jadeja,6,6,17.0,1,110,4,1/13,27.5,6.47,25.5,0,0,2019
Kuldeep Yadav,2,2,8.0,0,71,4,2/26,17.75,8.87,12,0,0,2019
JJ Bumrah,2,2,8.0,0,46,3,3/16,15.33,5.75,16,0,0,2019
S Dube,6,6,12.3,0,114,3,3/30,38,9.12,25,0,0,2019
Mohammed Shami,1,1,4.0,0,25,2,2/25,12.5,6.25,12,0,0,2019
V Shankar,4,1,4.0,0,38,2,2/38,19,9.5,12,0,0,2019
RD Chahar,1,1,3.0,0,27,1,1/27,27,9,18,0,0,2019
S Kaul,1,1,3.4,0,45,1,1/45,45,12.27,22,0,0,2019
M Markande,1,1,4.0,0,31,0,-,-,7.75,-,0,0,2019
UT Yadav,1,1,4.0,0,35,0,-,-,8.75,-,0,0,2019
S Dhawan,12,-,-,-,-,-,-,-,-,-,-,-,2019
MS Dhoni,5,-,-,-,-,-,-,-,-,-,-,-,2019
SS Iyer,8,-,-,-,-,-,-,-,-,-,-,-,2019
KD Karthik,5,-,-,-,-,-,-,-,-,-,-,-,2019
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,2019
MK Pandey,4,-,-,-,-,-,-,-,-,-,-,-,2019
RR Pant,16,-,-,-,-,-,-,-,-,-,-,-,2019
KL Rahul,9,-,-,-,-,-,-,-,-,-,-,-,2019
RG Sharma,14,-,-,-,-,-,-,-,-,-,-,-,2019
