Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
B Kumar,1,1,4.0,0,35,3,3/35,11.66,8.75,8,0,0,2013
R Vinay Kumar,1,1,4.0,0,26,3,3/26,8.66,6.5,8,0,0,2013
RA Jadeja,1,1,4.0,0,23,1,1/23,23,5.75,24,0,0,2013
R Ashwin,1,1,2.0,0,41,0,-,-,20.5,-,0,0,2013
V Kohli,1,1,2.0,0,24,0,-,-,12,-,0,0,2013
I Sharma,1,1,4.0,0,52,0,-,-,13,-,0,0,2013
S Dhawan,1,-,-,-,-,-,-,-,-,-,-,-,2013
MS Dhoni,1,-,-,-,-,-,-,-,-,-,-,-,2013
SK Raina,1,-,-,-,-,-,-,-,-,-,-,-,2013
RG Sharma,1,-,-,-,-,-,-,-,-,-,-,-,2013
Yuvraj Singh,1,-,-,-,-,-,-,-,-,-,-,-,2013
