Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,26,26,7,1460,131,76.84,1473,99.11,6,7,2,136,22,2017
RG Sharma,21,21,3,1293,208*,71.83,1300,99.46,6,5,1,116,46,2017
S Dhawan,22,22,2,960,132*,48,947,101.37,3,6,1,124,14,2017
MS Dhoni,29,22,9,788,134,60.61,930,84.73,1,6,0,60,19,2017
AM Rahane,12,12,0,586,103,48.83,754,77.71,1,7,0,63,4,2017
KM Jadhav,25,18,4,561,120,40.07,505,111.08,1,3,1,62,11,2017
HH Pandya,28,19,3,557,83,34.81,462,120.56,0,4,1,35,30,2017
Yuvraj Singh,11,10,1,372,150,41.33,377,98.67,1,1,0,46,7,2017
KD Karthik,8,7,4,183,64*,61,262,69.84,0,2,1,16,0,2017
MK Pandey,10,8,3,171,50*,34.2,193,88.6,0,1,1,17,1,2017
SS Iyer,3,3,0,162,88,54,160,101.25,0,2,0,18,3,2017
B Kumar,24,7,4,132,53*,44,172,76.74,0,1,1,12,3,2017
RA Jadeja,10,6,2,65,16*,16.25,66,98.48,0,0,0,6,1,2017
KL Rahul,7,6,0,52,17,8.66,72,72.22,0,0,0,5,1,2017
Kuldeep Yadav,14,5,3,21,19,10.5,33,63.63,0,0,1,4,0,2017
R Ashwin,9,3,1,17,15*,8.5,16,106.25,0,0,0,0,1,2017
JJ Bumrah,23,4,2,11,10*,5.5,30,36.66,0,0,1,2,0,2017
AR Patel,8,2,0,11,6,5.5,15,73.33,0,0,0,0,0,2017
Mohammed Shami,3,2,1,7,6*,7,8,87.5,0,0,0,1,0,2017
UT Yadav,9,2,1,2,2*,2,3,66.66,0,0,1,0,0,2017
YS Chahal,14,2,1,1,1,1,11,9.09,0,0,0,0,0,2017
SN Thakur,2,-,-,-,-,-,-,-,-,-,-,-,-,2017
Washington Sundar,1,-,-,-,-,-,-,-,-,-,-,-,-,2017
