Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,21,20,2,1054,139*,58.55,1058,99.62,4,5,1,94,20,2014
S Dhawan,18,18,1,815,113,47.94,942,86.51,1,6,0,90,14,2014
AM Rahane,24,24,0,768,111,32,945,81.26,2,4,2,82,10,2014
AT Rayudu,20,18,5,584,121*,44.92,727,80.33,1,4,0,49,11,2014
RG Sharma,12,12,1,578,264,52.54,613,94.29,1,3,0,58,22,2014
SK Raina,17,16,2,539,100,38.5,470,114.68,1,3,1,53,16,2014
MS Dhoni,12,10,2,418,79*,52.25,454,92.07,0,5,0,32,11,2014
RA Jadeja,17,14,8,369,87,61.5,335,110.14,0,4,1,30,13,2014
R Ashwin,17,10,1,147,65,16.33,122,120.49,0,1,1,18,2,2014
RV Uthappa,5,5,1,104,50,26,118,88.13,0,1,0,9,3,2014
B Kumar,16,8,0,62,20,7.75,65,95.38,0,0,1,6,0,2014
Mohammed Shami,16,9,5,58,19,14.5,57,101.75,0,0,2,3,4,2014
KD Karthik,4,4,2,50,23,25,78,64.1,0,0,0,5,0,2014
STR Binny,6,4,1,40,25*,13.33,63,63.49,0,0,1,6,0,2014
AR Patel,9,4,2,40,17*,20,26,153.84,0,0,0,4,2,2014
CA Pujara,3,3,0,38,27,12.66,102,37.25,0,0,1,2,0,2014
WP Saha,6,4,2,37,16,18.5,51,72.54,0,0,0,5,0,2014
KM Jadhav,1,1,0,20,20,20,24,83.33,0,0,0,3,0,2014
UT Yadav,10,3,2,17,17,17,17,100,0,0,0,2,1,2014
MM Sharma,6,3,1,13,8,6.5,30,43.33,0,0,0,2,0,2014
A Mishra,6,3,1,10,5,5,30,33.33,0,0,0,1,0,2014
I Sharma,5,2,1,6,5,6,11,54.54,0,0,0,0,0,2014
VR Aaron,5,2,1,2,2*,2,4,50,0,0,1,0,0,2014
MK Tiwary,1,1,0,2,2,2,6,33.33,0,0,0,0,0,2014
DS Kulkarni,4,-,-,-,-,-,-,-,-,-,-,-,-,2014
Parvez Rasool,1,-,-,-,-,-,-,-,-,-,-,-,-,2014
KV Sharma,2,-,-,-,-,-,-,-,-,-,-,-,-,2014
