Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Arshdeep Singh,21,21,68.4,0,636,26,3/20,24.46,9.26,15.8,0,0,2023
Ravi Bishnoi,11,11,44.0,0,317,18,3/24,17.61,7.2,14.6,0,0,2023
Kuldeep Yadav,9,9,30.5,0,184,14,5/17,13.14,5.96,13.2,0,1,2023
HH Pandya,11,11,35.0,0,255,11,4/16,23.18,7.28,19,1,0,2023
AR Patel,13,12,41.0,0,291,11,3/16,26.45,7.09,22.3,0,0,2023
Mukesh Kumar,11,11,33.5,0,314,10,3/32,31.4,9.28,20.3,0,0,2023
YS Chahal,9,9,29.0,1,253,9,2/19,28.11,8.72,19.3,0,0,2023
Umran Malik,5,5,14.1,0,131,9,3/48,14.55,9.24,9.4,0,0,2023
M Prasidh Krishna,5,5,20.0,0,220,8,3/41,27.5,11,15,0,0,2023
Shivam Mavi,6,6,14.0,0,123,7,4/22,17.57,8.78,12,1,0,2023
Avesh Khan,4,4,16.0,0,141,5,3/32,28.2,8.81,19.2,0,0,2023
Washington Sundar,8,7,20.0,0,126,5,2/15,25.2,6.3,24,0,0,2023
JJ Bumrah,2,2,8.0,1,39,4,2/15,9.75,4.87,12,0,0,2023
R Sai Kishore,3,3,12.0,0,63,4,3/12,15.75,5.25,18,0,0,2023
DL Chahar,1,1,4.0,0,44,2,2/44,22,11,12,0,0,2023
RA Jadeja,2,2,5.5,0,53,2,2/25,26.5,9.08,17.5,0,0,2023
HV Patel,1,1,4.0,0,41,2,2/41,20.5,10.25,12,0,0,2023
Shahbaz Ahmed,2,2,5.2,0,41,2,1/13,20.5,7.68,16,0,0,2023
NT Tilak Varma,15,3,5.0,0,26,2,1/5,13,5.2,15,0,0,2023
S Dube,5,5,8.0,0,74,1,1/4,74,9.25,48,0,0,2023
DJ Hooda,6,2,6.0,0,31,1,1/17,31,5.16,36,0,0,2023
Mohammed Siraj,2,2,6.0,1,40,1,1/27,40,6.66,36,0,0,2023
YBK Jaiswal,15,1,1.0,0,11,0,-,-,11,-,0,0,2023
RD Gaikwad,10,-,-,-,-,-,-,-,-,-,-,-,2023
Ishan Kishan,11,-,-,-,-,-,-,-,-,-,-,-,2023
SS Iyer,2,-,-,-,-,-,-,-,-,-,-,-,2023
SV Samson,8,-,-,-,-,-,-,-,-,-,-,-,2023
JM Sharma,7,-,-,-,-,-,-,-,-,-,-,-,2023
Shubman Gill,13,-,-,-,-,-,-,-,-,-,-,-,2023
RK Singh,12,-,-,-,-,-,-,-,-,-,-,-,2023
RA Tripathi,5,-,-,-,-,-,-,-,-,-,-,-,2023
SA Yadav,18,-,-,-,-,-,-,-,-,-,-,-,2023
