Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
RG Sharma,3,3,0,157,64,52.33,111,141.44,0,2,0,18,8,2024
AR Patel,3,3,0,79,44,26.33,108,73.14,0,0,0,6,3,2024
V Kohli,3,3,0,58,24,19.33,69,84.05,0,0,0,8,0,2024
Shubman Gill,3,3,0,57,35,19,93,61.29,0,0,0,5,0,2024
Washington Sundar,3,3,0,50,30,16.66,69,72.46,0,0,0,3,3,2024
SS Iyer,3,3,0,38,23,12.66,39,97.43,0,0,0,7,0,2024
S Dube,3,3,0,34,25,11.33,42,80.95,0,0,1,2,2,2024
KL Rahul,2,2,0,31,31,15.5,45,68.88,0,0,1,2,0,2024
Kuldeep Yadav,3,3,1,15,7*,7.5,67,22.38,0,0,0,0,0,2024
R Parag,1,1,0,15,15,15,13,115.38,0,0,0,2,0,2024
Mohammed Siraj,3,3,2,9,5*,9,29,31.03,0,0,0,0,0,2024
RR Pant,1,1,0,6,6,6,9,66.66,0,0,0,1,0,2024
Arshdeep Singh,2,2,0,3,3,1.5,5,60,0,0,1,0,0,2024
