Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Kuldeep Yadav,9,9,34.3,1,206,21,5/24,9.8,5.97,9.8,1,1,2018
YS Chahal,13,13,52.0,0,411,18,3/18,22.83,7.9,17.3,0,0,2018
B Kumar,11,11,40.4,0,266,12,5/24,22.16,6.54,20.3,0,1,2018
HH Pandya,8,8,30.0,0,243,10,4/38,24.3,8.1,18,1,0,2018
JD Unadkat,6,6,21.4,0,214,10,3/38,21.4,9.87,13,0,0,2018
Washington Sundar,6,6,24.0,0,147,9,3/22,16.33,6.12,16,0,0,2018
JJ Bumrah,8,8,31.0,1,216,8,2/19,27,6.96,23.2,0,0,2018
SN Thakur,7,7,27.3,0,242,8,4/27,30.25,8.8,20.6,1,0,2018
UT Yadav,5,5,18.0,0,160,8,2/19,20,8.88,13.5,0,0,2018
KK Ahmed,6,6,23.0,1,199,6,2/30,33.16,8.65,23,0,0,2018
KH Pandya,6,6,24.0,0,195,6,4/36,32.5,8.12,24,1,0,2018
S Kaul,2,2,6.0,0,39,3,2/35,13,6.5,12,0,0,2018
V Shankar,5,5,17.0,0,153,3,2/32,51,9,34,0,0,2018
DL Chahar,1,1,4.0,0,43,1,1/43,43,10.75,24,0,0,2018
Mohammed Siraj,1,1,4.0,0,50,1,1/50,50,12.5,24,0,0,2018
SK Raina,13,3,6.0,0,47,1,1/27,47,7.83,36,0,0,2018
AR Patel,1,1,1.0,0,16,0,-,-,16,-,0,0,2018
S Dhawan,18,-,-,-,-,-,-,-,-,-,-,-,2018
MS Dhoni,7,-,-,-,-,-,-,-,-,-,-,-,2018
KD Karthik,13,-,-,-,-,-,-,-,-,-,-,-,2018
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,2018
MK Pandey,13,-,-,-,-,-,-,-,-,-,-,-,2018
RR Pant,8,-,-,-,-,-,-,-,-,-,-,-,2018
KL Rahul,13,-,-,-,-,-,-,-,-,-,-,-,2018
RG Sharma,19,-,-,-,-,-,-,-,-,-,-,-,2018
