Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,13,13,3,651,135,65.1,677,96.15,3,4,2,54,13,2025
RG Sharma,14,14,1,650,121*,50,647,100.46,2,4,0,69,24,2025
SS Iyer,11,10,0,496,79,49.6,554,89.53,0,5,0,44,10,2025
Shubman Gill,11,11,1,490,112,49,552,88.76,2,2,0,59,8,2025
KL Rahul,14,11,4,367,66*,52.42,340,107.94,0,2,0,20,13,2025
AR Patel,11,10,2,290,52,36.25,328,88.41,0,1,0,26,4,2025
YBK Jaiswal,4,4,1,171,116*,57,197,86.8,1,0,0,19,4,2025
HH Pandya,8,7,1,135,45,22.5,114,118.42,0,0,0,9,9,2025
RD Gaikwad,3,2,0,113,105,56.5,97,116.49,1,0,0,12,2,2025
RA Jadeja,10,7,5,106,32,53,91,116.48,0,0,0,10,1,2025
Washington Sundar,6,5,0,50,14,10,65,76.92,0,0,0,2,1,2025
Harshit Rana,11,4,2,41,24*,20.5,32,128.12,0,0,0,4,1,2025
K Nitish Kumar Reddy,2,2,1,27,19*,27,21,128.57,0,0,0,1,2,2025
Arshdeep Singh,6,4,0,15,13,3.75,17,88.23,0,0,2,2,0,2025
Mohammed Shami,7,1,0,5,5,5,8,62.5,0,0,0,0,0,2025
Kuldeep Yadav,11,3,3,2,1*,-,3,66.66,0,0,0,0,0,2025
Mohammed Siraj,3,2,2,0,0*,-,1,0,0,0,0,0,0,2025
M Prasidh Krishna,4,-,-,-,-,-,-,-,-,-,-,-,-,2025
NT Tilak Varma,1,-,-,-,-,-,-,-,-,-,-,-,-,2025
CV Varun,4,-,-,-,-,-,-,-,-,-,-,-,-,2025
