Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,15,13,7,641,90*,106.83,457,140.26,0,7,0,70,9,2016
RG Sharma,18,18,1,497,83,29.23,378,131.48,0,4,2,45,19,2016
S Dhawan,14,14,2,301,60,25.08,256,117.57,0,2,0,35,10,2016
MS Dhoni,21,16,11,238,43,47.6,159,149.68,0,0,0,16,9,2016
SK Raina,16,12,2,220,49*,22,174,126.43,0,0,1,21,5,2016
KL Rahul,5,4,2,179,110*,89.5,112,159.82,1,0,1,17,8,2016
Yuvraj Singh,15,11,3,166,35,20.75,159,104.4,0,0,1,14,8,2016
AM Rahane,7,7,2,102,40,20.4,96,106.25,0,0,1,8,0,2016
Mandeep Singh,3,3,1,87,52*,43.5,73,119.17,0,1,0,11,1,2016
HH Pandya,16,7,0,78,31,11.14,56,139.28,0,0,1,7,4,2016
KM Jadhav,3,2,0,77,58,38.5,55,140,0,1,0,8,2,2016
MK Pandey,4,2,0,48,48,24,36,133.33,0,0,1,1,3,2016
R Ashwin,17,3,2,46,31*,46,46,100,0,0,0,6,0,2016
AT Rayudu,3,2,0,39,20,19.5,42,92.85,0,0,0,5,0,2016
AR Patel,3,2,1,38,20*,38,20,190,0,0,0,1,3,2016
RA Jadeja,17,5,2,19,12,6.33,21,90.47,0,0,1,2,0,2016
A Nehra,15,2,0,6,6,3,23,26.08,0,0,1,0,0,2016
R Dhawan,1,1,1,1,1*,-,2,50,0,0,0,0,0,2016
DS Kulkarni,2,1,1,1,1*,-,1,100,0,0,0,0,0,2016
JJ Bumrah,21,2,1,0,0*,0,2,0,0,0,1,0,0,2016
STR Binny,1,-,-,-,-,-,-,-,-,-,-,-,-,2016
YS Chahal,3,-,-,-,-,-,-,-,-,-,-,-,-,2016
Harbhajan Singh,1,-,-,-,-,-,-,-,-,-,-,-,-,2016
B Kumar,3,-,-,-,-,-,-,-,-,-,-,-,-,2016
A Mishra,1,-,-,-,-,-,-,-,-,-,-,-,-,2016
Mohammed Shami,2,-,-,-,-,-,-,-,-,-,-,-,-,2016
P Negi,1,-,-,-,-,-,-,-,-,-,-,-,-,2016
BB Sran,2,-,-,-,-,-,-,-,-,-,-,-,-,2016
JD Unadkat,1,-,-,-,-,-,-,-,-,-,-,-,-,2016
