Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
B Kumar,5,5,48.0,0,252,9,3/42,28,5.25,32,0,0,2021
SN Thakur,3,3,23.3,0,158,7,4/67,22.57,6.72,20.1,1,0,2021
M Prasidh Krishna,3,3,25.1,1,174,6,4/54,29,6.91,25.1,1,0,2021
YS Chahal,2,2,20.0,1,102,5,3/50,20.4,5.1,24,0,0,2021
DL Chahar,2,2,15.0,1,90,4,2/37,22.5,6,22.5,0,0,2021
RD Chahar,1,1,10.0,0,54,3,3/54,18,5.4,20,0,0,2021
Kuldeep Yadav,4,4,38.0,1,255,2,2/48,127.5,6.71,114,0,0,2021
HH Pandya,6,4,23.0,0,145,2,1/34,72.5,6.3,69,0,0,2021
KH Pandya,5,5,38.0,1,223,2,1/26,111.5,5.86,114,0,0,2021
C Sakariya,1,1,8.0,0,34,2,2/34,17,4.25,24,0,0,2021
K Gowtham,1,1,8.0,0,49,1,1/49,49,6.12,48,0,0,2021
T Natarajan,1,1,10.0,0,73,1,1/73,73,7.3,60,0,0,2021
N Rana,1,1,3.0,0,10,0,-,-,3.33,-,0,0,2021
NA Saini,1,1,5.0,0,27,0,-,-,5.4,-,0,0,2021
S Dhawan,6,-,-,-,-,-,-,-,-,-,-,-,2021
Ishan Kishan,2,-,-,-,-,-,-,-,-,-,-,-,2021
SS Iyer,1,-,-,-,-,-,-,-,-,-,-,-,2021
V Kohli,3,-,-,-,-,-,-,-,-,-,-,-,2021
MK Pandey,3,-,-,-,-,-,-,-,-,-,-,-,2021
RR Pant,2,-,-,-,-,-,-,-,-,-,-,-,2021
KL Rahul,3,-,-,-,-,-,-,-,-,-,-,-,2021
SV Samson,1,-,-,-,-,-,-,-,-,-,-,-,2021
RG Sharma,3,-,-,-,-,-,-,-,-,-,-,-,2021
PP Shaw,3,-,-,-,-,-,-,-,-,-,-,-,2021
SA Yadav,3,-,-,-,-,-,-,-,-,-,-,-,2021
