Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
SN Thakur,10,9,31.0,0,281,15,3/23,18.73,9.06,12.4,0,0,2020
JJ Bumrah,8,7,26.0,2,166,8,3/12,20.75,6.38,19.5,0,0,2020
YS Chahal,9,9,35.0,0,317,7,3/25,45.28,9.05,30,0,0,2020
NA Saini,5,4,15.5,0,98,7,3/28,14,6.18,13.5,0,0,2020
T Natarajan,3,3,12.0,0,83,6,3/30,13.83,6.91,12,0,0,2020
Washington Sundar,8,7,25.0,0,195,6,2/34,32.5,7.8,25,0,0,2020
RA Jadeja,4,3,10.0,0,59,4,2/18,14.75,5.9,15,0,0,2020
S Dube,7,5,9.0,0,102,2,1/16,51,11.33,27,0,0,2020
Kuldeep Yadav,2,1,4.0,0,38,2,2/38,19,9.5,12,0,0,2020
Mohammed Shami,4,4,16.0,0,153,2,2/32,76.5,9.56,48,0,0,2020
DL Chahar,3,3,12.0,0,111,1,1/29,111,9.25,72,0,0,2020
S Dhawan,6,-,-,-,-,-,-,-,-,-,-,-,2020
SS Iyer,10,-,-,-,-,-,-,-,-,-,-,-,2020
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,2020
MK Pandey,7,-,-,-,-,-,-,-,-,-,-,-,2020
HH Pandya,3,-,-,-,-,-,-,-,-,-,-,-,2020
RR Pant,2,-,-,-,-,-,-,-,-,-,-,-,2020
KL Rahul,11,-,-,-,-,-,-,-,-,-,-,-,2020
SV Samson,6,-,-,-,-,-,-,-,-,-,-,-,2020
RG Sharma,4,-,-,-,-,-,-,-,-,-,-,-,2020
